dataset,epoch,severity,seed,n_clips,aligned_abs_rel,abs_rel,pred_depth_span,boundary_f1
tartanair,0,0.0,1,40,0.570608,0.951653,0.0355307,0.0520708
tartanair,0,0.0,2,40,0.570608,0.951653,0.0355307,0.0520708
tartanair,0,0.0,3,40,0.570608,0.951653,0.0355307,0.0520708
tartanair,0,0.25,1,40,0.57454,0.952341,0.0355226,0.0569535
tartanair,0,0.25,2,40,0.575756,0.952432,0.0358466,0.0599051
tartanair,0,0.25,3,40,0.574771,0.952499,0.0359339,0.0592573
tartanair,0,0.5,1,40,0.579201,0.953187,0.0349065,0.063162
tartanair,0,0.5,2,40,0.579512,0.953483,0.0350535,0.0679223
tartanair,0,0.5,3,40,0.576683,0.953689,0.0344987,0.0686254
tartanair,0,0.75,1,40,0.583323,0.954358,0.0331931,0.07169
tartanair,0,0.75,2,40,0.5827,0.954698,0.0318111,0.0743055
tartanair,0,0.75,3,40,0.579525,0.954802,0.0315328,0.0747267
tartanair,0,1.0,1,40,0.584169,0.955191,0.0308739,0.0760745
tartanair,0,1.0,2,40,0.58478,0.955383,0.0297994,0.0758529
tartanair,0,1.0,3,40,0.582797,0.955313,0.0281968,0.073874
tartanair,1,0.0,1,40,0.228244,0.981042,16.2274,0.377421
tartanair,1,0.0,2,40,0.228244,0.981042,16.2274,0.377421
tartanair,1,0.0,3,40,0.228244,0.981042,16.2274,0.377421
tartanair,1,0.25,1,40,0.288812,0.930144,12.0597,0.296635
tartanair,1,0.25,2,40,0.289748,0.923042,12.8062,0.304692
tartanair,1,0.25,3,40,0.274678,0.963418,12.828,0.30363
tartanair,1,0.5,1,40,0.344125,0.848574,9.98112,0.212626
tartanair,1,0.5,2,40,0.33684,0.860852,10.5186,0.218932
tartanair,1,0.5,3,40,0.315686,0.87596,10.1935,0.222603
tartanair,1,0.75,1,40,0.393526,0.770867,8.25964,0.134491
tartanair,1,0.75,2,40,0.381058,0.755356,8.75466,0.144481
tartanair,1,0.75,3,40,0.368498,0.770665,8.595,0.145283
tartanair,1,1.0,1,40,0.426927,0.720308,6.75395,0.0890561
tartanair,1,1.0,2,40,0.417004,0.69128,7.42843,0.0927333
tartanair,1,1.0,3,40,0.415938,0.714122,7.19378,0.0943941
tartanair,2,0.0,1,40,0.194794,0.722078,15.6001,0.342196
tartanair,2,0.0,2,40,0.194794,0.722078,15.6001,0.342196
tartanair,2,0.0,3,40,0.194794,0.722078,15.6001,0.342196
tartanair,2,0.25,1,40,0.24721,0.808351,13.6305,0.269817
tartanair,2,0.25,2,40,0.253759,0.801149,14.2126,0.275814
tartanair,2,0.25,3,40,0.236379,0.81845,14.2387,0.274731
tartanair,2,0.5,1,40,0.299472,0.775268,11.5993,0.204478
tartanair,2,0.5,2,40,0.301088,0.784368,12.4075,0.207749
tartanair,2,0.5,3,40,0.28305,0.783728,12.0186,0.209851
tartanair,2,0.75,1,40,0.370738,0.712012,9.55687,0.137145
tartanair,2,0.75,2,40,0.356641,0.707684,10.4193,0.148006
tartanair,2,0.75,3,40,0.35489,0.688454,10.0412,0.149164
tartanair,2,1.0,1,40,0.425108,0.645631,7.48499,0.0910689
tartanair,2,1.0,2,40,0.409552,0.644085,8.63179,0.0986636
tartanair,2,1.0,3,40,0.419353,0.623942,8.26989,0.0982668
tartanair,3,0.0,1,40,0.178291,0.643431,14.5403,0.33143
tartanair,3,0.0,2,40,0.178291,0.643431,14.5403,0.33143
tartanair,3,0.0,3,40,0.178291,0.643431,14.5403,0.33143
tartanair,3,0.25,1,40,0.239919,0.746948,13.3673,0.263065
tartanair,3,0.25,2,40,0.246727,0.745379,13.743,0.269686
tartanair,3,0.25,3,40,0.229229,0.749508,13.8793,0.267809
tartanair,3,0.5,1,40,0.298723,0.744569,11.5567,0.199819
tartanair,3,0.5,2,40,0.298619,0.750363,12.3596,0.20529
tartanair,3,0.5,3,40,0.280909,0.741407,12.0375,0.203753
tartanair,3,0.75,1,40,0.373154,0.687771,9.45933,0.129987
tartanair,3,0.75,2,40,0.356554,0.667542,10.2029,0.144567
tartanair,3,0.75,3,40,0.353044,0.65202,9.84554,0.143305
tartanair,3,1.0,1,40,0.424746,0.606708,7.32232,0.0856644
tartanair,3,1.0,2,40,0.41094,0.597759,8.03276,0.0931392
tartanair,3,1.0,3,40,0.424171,0.585888,7.64731,0.0915024
tartanair,4,0.0,1,40,0.167514,0.658519,14.4763,0.333979
