dataset,epoch,severity,seed,n_clips,aligned_abs_rel,abs_rel,pred_depth_span,boundary_f1
vkitti,0,0.0,1,40,0.935968,0.995893,0.0249296,0.149871
vkitti,0,0.0,2,40,0.935968,0.995893,0.0249296,0.149871
vkitti,0,0.0,3,40,0.935968,0.995893,0.0249296,0.149871
vkitti,0,0.25,1,40,0.947764,0.995968,0.025143,0.14129
vkitti,0,0.25,2,40,0.934092,0.995999,0.0249993,0.139471
vkitti,0,0.25,3,40,0.944847,0.995981,0.0249881,0.140162
vkitti,0,0.5,1,40,0.983094,0.996,0.0242849,0.150023
vkitti,0,0.5,2,40,0.972628,0.996052,0.0237461,0.148612
vkitti,0,0.5,3,40,0.981335,0.996037,0.024059,0.149571
vkitti,0,0.75,1,40,1.02533,0.996061,0.0240466,0.163956
vkitti,0,0.75,2,40,1.02322,0.996123,0.0231269,0.162581
vkitti,0,0.75,3,40,1.02297,0.99611,0.0233425,0.162995
vkitti,0,1.0,1,40,1.05561,0.996091,0.0232865,0.175521
vkitti,0,1.0,2,40,1.05112,0.996131,0.0217003,0.174605
vkitti,0,1.0,3,40,1.04718,0.996122,0.0219899,0.175173
vkitti,1,0.0,1,40,0.0950946,0.389154,43.9484,0.149146
vkitti,1,0.0,2,40,0.0950946,0.389154,43.9484,0.149146
vkitti,1,0.0,3,40,0.0950946,0.389154,43.9484,0.149146
vkitti,1,0.25,1,40,0.107865,0.388354,42.2006,0.131471
vkitti,1,0.25,2,40,0.10665,0.38881,42.303,0.133114
vkitti,1,0.25,3,40,0.107414,0.389408,42.1615,0.133843
vkitti,1,0.5,1,40,0.124672,0.374736,41.5744,0.110096
vkitti,1,0.5,2,40,0.123732,0.374574,41.7481,0.10799
vkitti,1,0.5,3,40,0.124513,0.37573,41.331,0.110065
vkitti,1,0.75,1,40,0.161451,0.36571,39.572,0.0896932
vkitti,1,0.75,2,40,0.161441,0.366563,39.4621,0.0883805
vkitti,1,0.75,3,40,0.161358,0.367152,39.5069,0.0907771
vkitti,1,1.0,1,40,0.231701,0.374867,36.3514,0.0688424
vkitti,1,1.0,2,40,0.234414,0.376443,36.0865,0.0643499
vkitti,1,1.0,3,40,0.222539,0.368964,36.2853,0.0678981
vkitti,2,0.0,1,40,0.0955576,0.568534,39.3258,0.149245
vkitti,2,0.0,2,40,0.0955576,0.568534,39.3258,0.149245
vkitti,2,0.0,3,40,0.0955576,0.568534,39.3258,0.149245
vkitti,2,0.25,1,40,0.109225,0.573774,37.0449,0.132702
vkitti,2,0.25,2,40,0.107031,0.573755,37.2361,0.133671
vkitti,2,0.25,3,40,0.108218,0.574927,36.9726,0.135072
vkitti,2,0.5,1,40,0.130028,0.562092,35.7616,0.110542
vkitti,2,0.5,2,40,0.127547,0.561875,36.3113,0.10881
vkitti,2,0.5,3,40,0.128866,0.564877,35.5356,0.111319
vkitti,2,0.75,1,40,0.171886,0.551975,33.6596,0.0898151
vkitti,2,0.75,2,40,0.174199,0.55349,34.0623,0.0890775
vkitti,2,0.75,3,40,0.173499,0.55677,33.4386,0.0902812
vkitti,2,1.0,1,40,0.250389,0.565151,30.5799,0.0697747
vkitti,2,1.0,2,40,0.250975,0.565465,30.5426,0.0644642
vkitti,2,1.0,3,40,0.246276,0.563104,30.2813,0.0699086
vkitti,3,0.0,1,40,0.0961959,0.612517,38.6604,0.146723
vkitti,3,0.0,2,40,0.0961959,0.612517,38.6604,0.146723
vkitti,3,0.0,3,40,0.0961959,0.612517,38.6604,0.146723
vkitti,3,0.25,1,40,0.112659,0.619906,36.1172,0.131968
vkitti,3,0.25,2,40,0.109899,0.619949,36.4032,0.132812
vkitti,3,0.25,3,40,0.110834,0.620885,36.0863,0.134596
vkitti,3,0.5,1,40,0.140162,0.610198,34.1437,0.111971
vkitti,3,0.5,2,40,0.136367,0.610465,34.6846,0.110509
vkitti,3,0.5,3,40,0.137787,0.613368,33.9981,0.113497
vkitti,3,0.75,1,40,0.194714,0.610637,31.0799,0.0916095
vkitti,3,0.75,2,40,0.198428,0.612056,31.4276,0.0891747
vkitti,3,0.75,3,40,0.191419,0.613121,30.7091,0.0909512
vkitti,3,1.0,1,40,0.287822,0.646217,27.0451,0.0664627
vkitti,3,1.0,2,40,0.279403,0.649002,26.8353,0.0590157
vkitti,3,1.0,3,40,0.277549,0.641788,26.0391,0.0672342
vkitti,4,0.0,1,40,0.0989875,0.628649,37.196,0.156177
vkitti,4,0.0,2,40,0.0989875,0.628649,37.196,0.156177
vkitti,4,0.0,3,40,0.0989875,0.628649,37.196,0.156177
vkitti,4,0.25,1,40,0.117251,0.636571,34.4333,0.138615
vkitti,4,0.25,2,40,0.114047,0.636529,34.774,0.139548
vkitti,4,0.25,3,40,0.115391,0.637258,34.3995,0.141129
vkitti,4,0.5,1,40,0.148522,0.627923,32.0809,0.115675
vkitti,4,0.5,2,40,0.142759,0.628257,32.7308,0.115048
vkitti,4,0.5,3,40,0.146925,0.630881,31.9892,0.117649
vkitti,4,0.75,1,40,0.209779,0.63941,28.6346,0.0941561
vkitti,4,0.75,2,40,0.211046,0.638443,29.0834,0.0904259
vkitti,4,0.75,3,40,0.205268,0.640435,28.2585,0.0923425
vkitti,4,1.0,1,40,0.311379,0.693087,23.9412,0.0630189
vkitti,4,1.0,2,40,0.298692,0.695205,23.8531,0.0561807
vkitti,4,1.0,3,40,0.294992,0.688996,22.9267,0.0639435
vkitti,5,0.0,1,40,0.0972878,0.627449,37.1119,0.159908
vkitti,5,0.0,2,40,0.0972878,0.627449,37.1119,0.159908
vkitti,5,0.0,3,40,0.0972878,0.627449,37.1119,0.159908
vkitti,5,0.25,1,40,0.115685,0.635157,34.2541,0.142175
vkitti,5,0.25,2,40,0.112258,0.634968,34.6239,0.143213
vkitti,5,0.25,3,40,0.113528,0.635647,34.2653,0.14435
vkitti,5,0.5,1,40,0.14929,0.626218,31.8537,0.118668
vkitti,5,0.5,2,40,0.142529,0.626466,32.5842,0.118735
vkitti,5,0.5,3,40,0.14728,0.628817,31.8115,0.120142
vkitti,5,0.75,1,40,0.216471,0.640594,28.3606,0.0961566
vkitti,5,0.75,2,40,0.215005,0.638781,28.9023,0.0911409
vkitti,5,0.75,3,40,0.212079,0.641852,28.1172,0.0955716
vkitti,5,1.0,1,40,0.326164,0.700229,23.4831,0.0633437
vkitti,5,1.0,2,40,0.308791,0.703896,23.411,0.0553759
vkitti,5,1.0,3,40,0.30533,0.698828,22.3141,0.0649658
vkitti,6,0.0,1,40,0.0975005,0.629367,36.7019,0.160928
vkitti,6,0.0,2,40,0.0975005,0.629367,36.7019,0.160928
vkitti,6,0.0,3,40,0.0975005,0.629367,36.7019,0.160928
vkitti,6,0.25,1,40,0.116192,0.636888,33.8425,0.142899
vkitti,6,0.25,2,40,0.112852,0.636565,34.2113,0.144095
vkitti,6,0.25,3,40,0.113868,0.637283,33.8568,0.144924
vkitti,6,0.5,1,40,0.150168,0.628183,31.5278,0.119363
vkitti,6,0.5,2,40,0.143272,0.628362,32.2777,0.120026
vkitti,6,0.5,3,40,0.148171,0.63054,31.469,0.120633
vkitti,6,0.75,1,40,0.217557,0.642482,28.2027,0.0962979
vkitti,6,0.75,2,40,0.216244,0.640887,28.7494,0.0913552
vkitti,6,0.75,3,40,0.213107,0.644717,28.0272,0.0967486
vkitti,6,1.0,1,40,0.330718,0.703177,23.4649,0.0637484
vkitti,6,1.0,2,40,0.313226,0.708097,23.3065,0.0551794
vkitti,6,1.0,3,40,0.307768,0.703638,22.2556,0.0653476
