run,val_set,epoch,aligned_abs_rel,abs_rel,pred_depth_span,pred_depth_p50,pred_depth_p99,boundary_f1,edge_abs_rel,fdv,tgm_metric
hpc,val_tartanair_clean,0,0.456335,0.539483,61.4769,7.45945,64.2197,0.391149,0.855721,0.0838148,0.121822
hpc,val_tartanair_clean,1,0.139158,0.399858,36.0169,5.00853,36.5746,0.396678,0.388534,0.136805,0.157171
hpc,val_tartanair_clean,2,0.124677,0.359607,41.0889,5.89081,41.7889,0.413228,0.374967,0.13527,0.144091
hpc,val_tartanair_clean,3,0.11694,0.339814,39.8074,5.82758,40.5201,0.421481,0.351291,0.134725,0.137691
hpc,val_tartanair_clean,4,0.111439,0.338229,36.6089,5.49095,37.3347,0.434234,0.340353,0.132036,0.131903
hpc,val_tartanair_clean,5,0.109855,0.350304,34.3478,5.21779,35.0748,0.440463,0.341042,0.131618,0.130678
hpc,val_tartanair_clean,6,0.108759,0.357382,33.6121,5.11328,34.3233,0.440604,0.345187,0.131478,0.130155
hpc,val_tartanair_degraded,0,0.631223,0.721149,46.1991,5.99496,49.0209,0.116841,0.939783,0.0612237,0.309831
hpc,val_tartanair_degraded,1,0.466807,0.650969,20.3739,5.50528,21.8472,0.109856,0.637044,0.0551696,0.242352
hpc,val_tartanair_degraded,2,0.506067,0.808382,20.0686,6.17462,22.171,0.0976811,0.722464,0.0487333,0.249548
hpc,val_tartanair_degraded,3,0.511007,0.755453,17.5905,5.62689,19.6414,0.0862785,0.684918,0.0440805,0.252474
hpc,val_tartanair_degraded,4,0.551492,0.679832,14.5985,4.72797,16.4342,0.0830952,0.639734,0.044649,0.254872
hpc,val_tartanair_degraded,5,0.559969,0.670005,13.9308,4.50115,15.6169,0.082769,0.636188,0.0457019,0.250096
hpc,val_tartanair_degraded,6,0.571346,0.660488,13.6084,4.31501,15.2156,0.0807921,0.636497,0.0460451,0.246662
hpc,val_vkitti_clean,0,0.381829,0.0943143,105.187,14.5642,111.168,0.226497,0.273428,0.0178039,0.0268571
hpc,val_vkitti_clean,1,0.0969896,0.498277,53.4931,8.44201,53.9675,0.152106,0.300473,0.0240111,0.0446472
hpc,val_vkitti_clean,2,0.105768,0.44582,58.6084,9.56355,59.1209,0.171224,0.246261,0.0243988,0.0433344
hpc,val_vkitti_clean,3,0.10533,0.462338,56.5069,9.27188,57.0003,0.181424,0.262518,0.0243824,0.0418897
hpc,val_vkitti_clean,4,0.109828,0.50637,50.4931,8.50763,51.035,0.193067,0.33184,0.0245012,0.0411907
hpc,val_vkitti_clean,5,0.11198,0.529835,47.3558,8.09235,47.9487,0.201599,0.371167,0.0244902,0.0409748
hpc,val_vkitti_clean,6,0.112246,0.541031,46.3444,7.90822,46.9051,0.201149,0.384794,0.0245455,0.0408989
hpc,val_vkitti_degraded,0,0.526164,0.131142,109.644,15.1131,115.817,0.133483,0.344799,0.014865,0.0507512
hpc,val_vkitti_degraded,1,0.245248,0.647104,25.6139,6.37542,26.8578,0.0739379,0.666336,0.0246078,0.187975
hpc,val_vkitti_degraded,2,0.305508,0.624085,24.3661,7.00936,25.7989,0.066388,0.680815,0.023202,0.223503
hpc,val_vkitti_degraded,3,0.298315,0.645889,20.7002,6.33417,22.2371,0.0585351,0.710185,0.0193118,0.224082
hpc,val_vkitti_degraded,4,0.324093,0.693245,16.0713,5.37209,17.5373,0.0446444,0.764572,0.0182651,0.247756
hpc,val_vkitti_degraded,5,0.335317,0.701045,14.8017,5.29334,16.2365,0.0381278,0.775615,0.0176663,0.251562
hpc,val_vkitti_degraded,6,0.341835,0.719293,14.0293,4.92446,15.3566,0.0352765,0.789244,0.0179613,0.264229
local,val_tartanair_clean,0,0.448006,1.34622,63.7007,14.1398,69.0658,0.336658,1.63926,0.0880465,0.12821
local,val_tartanair_clean,1,0.145953,0.431409,40.4502,7.98185,43.0022,0.524088,0.546388,0.14212,0.206756
local,val_tartanair_clean,2,0.132094,0.312705,38.5638,6.23503,39.8605,0.529243,0.391531,0.174364,0.208561
local,val_tartanair_clean,3,0.126755,0.350667,39.2828,5.90765,40.2446,0.532724,0.407691,0.187422,0.204953
local,val_tartanair_clean,4,0.120844,0.359486,39.7938,5.97432,40.7427,0.540221,0.422803,0.188574,0.20118
local,val_tartanair_clean,5,0.115244,0.357465,39.641,6.01571,40.6201,0.548145,0.41801,0.189167,0.198953
local,val_tartanair_clean,6,0.111241,0.360481,38.978,6.00701,39.9603,0.553326,0.416379,0.189071,0.196807
local,val_tartanair_clean,7,0.109343,0.36196,38.0556,5.90443,39.0114,0.557689,0.409547,0.188509,0.194681
local,val_tartanair_clean,8,0.107248,0.363056,37.3812,5.84687,38.343,0.562085,0.406633,0.187991,0.193851
local,val_tartanair_clean,9,0.106254,0.367052,36.9478,5.79049,37.8926,0.562997,0.407389,0.187775,0.192515
local,val_tartanair_clean,10,0.105476,0.367524,36.6372,5.76139,37.5813,0.563681,0.405444,0.18793,0.192575
local,val_tartanair_degraded,0,0.588872,1.52867,99.2112,14.4021,104.963,0.134507,1.86709,0.0668558,0.145228
local,val_tartanair_degraded,1,0.276951,0.573047,31.392,8.75463,34.5963,0.253459,0.632667,0.0893029,0.250279
local,val_tartanair_degraded,2,0.310359,0.398466,24.2539,6.21517,25.9937,0.251611,0.458722,0.09909,0.259668
local,val_tartanair_degraded,3,0.326695,0.420418,22.2436,5.50941,23.6303,0.234936,0.459862,0.0961573,0.245023
local,val_tartanair_degraded,4,0.350903,0.45275,19.386,5.10953,20.6901,0.210418,0.48284,0.0885007,0.24167
local,val_tartanair_degraded,5,0.373086,0.461184,17.9277,5.02339,19.2955,0.203008,0.490567,0.0839834,0.254444
local,val_tartanair_degraded,6,0.391956,0.466493,16.7092,4.85041,18.0611,0.189848,0.496495,0.0797071,0.256045
local,val_tartanair_degraded,7,0.400651,0.468684,16.1153,4.71474,17.408,0.182347,0.497595,0.0776166,0.250995
local,val_tartanair_degraded,8,0.408864,0.474921,15.6356,4.57894,16.9144,0.175807,0.503106,0.0754402,0.249134
local,val_tartanair_degraded,9,0.412069,0.477893,15.4446,4.56444,16.7359,0.174119,0.506737,0.0746173,0.249631
local,val_tartanair_degraded,10,0.412746,0.474014,15.3428,4.54078,16.631,0.171643,0.504133,0.0741049,0.249961
local,val_vkitti_clean,0,0.354052,0.0857216,99.426,14.2774,105.43,0.226965,0.255192,0.0174774,0.0272789
local,val_vkitti_clean,1,0.0905216,0.384683,45.9783,9.54441,48.8027,0.157729,0.334363,0.0200685,0.0482077
