dataset,epoch,severity,seed,n_clips,aligned_abs_rel,abs_rel,pred_depth_span,boundary_f1
tartanair,0,0.0,1,40,0.587361,0.98057,0.0291293,0.242271
tartanair,0,0.0,2,40,0.587361,0.98057,0.0291293,0.242271
tartanair,0,0.0,3,40,0.587361,0.98057,0.0291293,0.242271
tartanair,0,0.25,1,40,0.589455,0.980971,0.0282543,0.241019
tartanair,0,0.25,2,40,0.58924,0.981076,0.0288251,0.241084
tartanair,0,0.25,3,40,0.589564,0.980967,0.0286875,0.240536
tartanair,0,0.5,1,40,0.590405,0.981195,0.0276582,0.23893
tartanair,0,0.5,2,40,0.588774,0.981357,0.0280823,0.240075
tartanair,0,0.5,3,40,0.589516,0.981075,0.0274824,0.238914
tartanair,0,0.75,1,40,0.588714,0.980994,0.0264177,0.238243
tartanair,0,0.75,2,40,0.590048,0.98121,0.0263652,0.240977
tartanair,0,0.75,3,40,0.589585,0.980967,0.0254687,0.239619
tartanair,0,1.0,1,40,0.589246,0.98086,0.0250087,0.23822
tartanair,0,1.0,2,40,0.590377,0.981173,0.0247569,0.241426
tartanair,0,1.0,3,40,0.590033,0.981111,0.0244354,0.239682
tartanair,1,0.0,1,40,0.19176,0.890509,16.9815,0.326649
tartanair,1,0.0,2,40,0.19176,0.890509,16.9815,0.326649
tartanair,1,0.0,3,40,0.19176,0.890509,16.9815,0.326649
tartanair,1,0.25,1,40,0.239103,1.01636,15.1463,0.26069
tartanair,1,0.25,2,40,0.244171,1.00397,15.6244,0.267662
tartanair,1,0.25,3,40,0.229797,1.01765,15.4983,0.265804
tartanair,1,0.5,1,40,0.284928,1.03977,12.9735,0.202246
tartanair,1,0.5,2,40,0.289187,1.01103,13.5518,0.20185
tartanair,1,0.5,3,40,0.273285,1.04354,13.2726,0.202291
tartanair,1,0.75,1,40,0.345859,1.00478,10.7408,0.134141
tartanair,1,0.75,2,40,0.341013,0.960097,11.362,0.142624
tartanair,1,0.75,3,40,0.33395,0.985216,11.3052,0.140812
tartanair,1,1.0,1,40,0.403662,0.966963,8.9726,0.0913943
tartanair,1,1.0,2,40,0.390689,0.910835,9.48658,0.0909917
tartanair,1,1.0,3,40,0.395789,0.88631,9.1925,0.0918834
tartanair,2,0.0,1,40,0.170518,0.841288,17.6642,0.318428
tartanair,2,0.0,2,40,0.170518,0.841288,17.6642,0.318428
tartanair,2,0.0,3,40,0.170518,0.841288,17.6642,0.318428
tartanair,2,0.25,1,40,0.226206,0.903209,16.0674,0.260264
tartanair,2,0.25,2,40,0.22601,0.899526,16.3738,0.265451
tartanair,2,0.25,3,40,0.213997,0.902004,16.1729,0.26045
tartanair,2,0.5,1,40,0.272507,0.857907,13.4601,0.205666
tartanair,2,0.5,2,40,0.271182,0.861823,14.0322,0.203075
tartanair,2,0.5,3,40,0.260745,0.859587,13.6427,0.203153
tartanair,2,0.75,1,40,0.340512,0.739061,10.2734,0.13185
tartanair,2,0.75,2,40,0.330916,0.731577,11.1337,0.146314
tartanair,2,0.75,3,40,0.334355,0.747573,10.5819,0.141192
tartanair,2,1.0,1,40,0.416244,0.601447,7.34746,0.0908191
tartanair,2,1.0,2,40,0.391861,0.602835,8.22924,0.0930129
tartanair,2,1.0,3,40,0.407744,0.61049,7.46899,0.0922732
tartanair,3,0.0,1,40,0.152837,0.93157,17.9618,0.32888
tartanair,3,0.0,2,40,0.152837,0.93157,17.9618,0.32888
tartanair,3,0.0,3,40,0.152837,0.93157,17.9618,0.32888
tartanair,3,0.25,1,40,0.217089,1.00919,16.3771,0.269231
tartanair,3,0.25,2,40,0.217434,0.997333,16.6988,0.274266
tartanair,3,0.25,3,40,0.201388,1.01275,16.4629,0.268623
tartanair,3,0.5,1,40,0.273023,0.923058,13.259,0.207535
tartanair,3,0.5,2,40,0.269535,0.916358,14.0978,0.207939
tartanair,3,0.5,3,40,0.258086,0.925519,13.3499,0.206444
tartanair,3,0.75,1,40,0.357211,0.712291,9.1292,0.119362
tartanair,3,0.75,2,40,0.332732,0.722651,10.5263,0.138479
tartanair,3,0.75,3,40,0.342368,0.732962,9.56089,0.133519
tartanair,3,1.0,1,40,0.435811,0.549926,5.76133,0.0745712
tartanair,3,1.0,2,40,0.410911,0.562038,6.84479,0.0794302
tartanair,3,1.0,3,40,0.415032,0.575384,5.99721,0.077498
tartanair,4,0.0,1,40,0.142958,0.960503,17.5615,0.350588
tartanair,4,0.0,2,40,0.142958,0.960503,17.5615,0.350588
tartanair,4,0.0,3,40,0.142958,0.960503,17.5615,0.350588
tartanair,4,0.25,1,40,0.214625,1.02898,16.139,0.285768
tartanair,4,0.25,2,40,0.212327,1.01499,16.3902,0.290591
tartanair,4,0.25,3,40,0.197439,1.02911,16.2297,0.285662
tartanair,4,0.5,1,40,0.272008,0.937936,13.1386,0.21836
tartanair,4,0.5,2,40,0.265437,0.929507,13.9503,0.220398
tartanair,4,0.5,3,40,0.258511,0.946426,13.4488,0.219485
tartanair,4,0.75,1,40,0.363688,0.730956,9.15252,0.122386
tartanair,4,0.75,2,40,0.337333,0.73625,10.4871,0.145333
tartanair,4,0.75,3,40,0.346322,0.758623,9.5757,0.144764
tartanair,4,1.0,1,40,0.447798,0.589618,5.85497,0.0737866
tartanair,4,1.0,2,40,0.424814,0.587028,6.79056,0.082458
tartanair,4,1.0,3,40,0.422673,0.614788,6.07171,0.083338
tartanair,5,0.0,1,40,0.136878,0.983355,17.5048,0.364073
tartanair,5,0.0,2,40,0.136878,0.983355,17.5048,0.364073
tartanair,5,0.0,3,40,0.136878,0.983355,17.5048,0.364073
tartanair,5,0.25,1,40,0.214714,1.0489,16.0324,0.293494
tartanair,5,0.25,2,40,0.211428,1.0284,16.2439,0.299039
tartanair,5,0.25,3,40,0.195909,1.05332,16.0904,0.294666
tartanair,5,0.5,1,40,0.276177,0.938148,13.0056,0.21887
tartanair,5,0.5,2,40,0.266396,0.928575,13.7906,0.223272
tartanair,5,0.5,3,40,0.260261,0.952973,13.3417,0.221758
tartanair,5,0.75,1,40,0.369748,0.697288,8.78868,0.118448
tartanair,5,0.75,2,40,0.338838,0.710234,10.2949,0.140385
tartanair,5,0.75,3,40,0.348238,0.743648,9.29264,0.141798
tartanair,5,1.0,1,40,0.455014,0.556915,5.65474,0.067351
tartanair,5,1.0,2,40,0.431731,0.554555,6.46907,0.076265
tartanair,5,1.0,3,40,0.428205,0.578642,5.78487,0.0788735
tartanair,6,0.0,1,40,0.133709,0.976651,17.4063,0.370167
tartanair,6,0.0,2,40,0.133709,0.976651,17.4063,0.370167
tartanair,6,0.0,3,40,0.133709,0.976651,17.4063,0.370167
tartanair,6,0.25,1,40,0.215841,1.049,15.9777,0.29739
tartanair,6,0.25,2,40,0.211705,1.02665,16.1448,0.303672
tartanair,6,0.25,3,40,0.196256,1.05491,16.0269,0.299057
tartanair,6,0.5,1,40,0.279145,0.93779,12.9625,0.221235
tartanair,6,0.5,2,40,0.268014,0.92857,13.7309,0.226287
tartanair,6,0.5,3,40,0.262511,0.949616,13.2745,0.224094
tartanair,6,0.75,1,40,0.375261,0.694075,8.73728,0.119718
tartanair,6,0.75,2,40,0.343194,0.710473,10.2409,0.142364
tartanair,6,0.75,3,40,0.354176,0.7401,9.15961,0.142744
tartanair,6,1.0,1,40,0.45724,0.560275,5.61169,0.0679043
tartanair,6,1.0,2,40,0.437688,0.558528,6.36915,0.0778706
tartanair,6,1.0,3,40,0.433565,0.579137,5.67236,0.0810234
