dataset,epoch,severity,seed,n_clips,aligned_abs_rel,abs_rel,pred_depth_span,boundary_f1
vkitti,0,0.0,1,40,1.09409,0.98983,0.0310414,0.0139007
vkitti,0,0.0,2,40,1.09409,0.98983,0.0310414,0.0139007
vkitti,0,0.0,3,40,1.09409,0.98983,0.0310414,0.0139007
vkitti,0,0.25,1,40,1.02831,0.989573,0.0308688,0.0173104
vkitti,0,0.25,2,40,1.02763,0.989551,0.0305395,0.0177527
vkitti,0,0.25,3,40,1.02973,0.989555,0.0307753,0.0179005
vkitti,0,0.5,1,40,1.00021,0.989386,0.0317406,0.0214046
vkitti,0,0.5,2,40,0.997726,0.989351,0.0307665,0.0231883
vkitti,0,0.5,3,40,1.00545,0.989348,0.0307502,0.0231319
vkitti,0,0.75,1,40,1.01532,0.98928,0.0303759,0.0235068
vkitti,0,0.75,2,40,1.01307,0.989265,0.0284518,0.0243962
vkitti,0,0.75,3,40,1.01742,0.989248,0.0279159,0.0231527
vkitti,0,1.0,1,40,1.03673,0.989225,0.0283902,0.0210262
vkitti,0,1.0,2,40,1.03258,0.989218,0.0262511,0.019978
vkitti,0,1.0,3,40,1.03653,0.989196,0.0257956,0.0185325
vkitti,1,0.0,1,40,0.157316,0.598731,31.3044,0.154395
vkitti,1,0.0,2,40,0.157316,0.598731,31.3044,0.154395
vkitti,1,0.0,3,40,0.157316,0.598731,31.3044,0.154395
vkitti,1,0.25,1,40,0.172593,0.595951,29.6206,0.125763
vkitti,1,0.25,2,40,0.170625,0.597348,29.8366,0.127773
vkitti,1,0.25,3,40,0.17204,0.596757,29.5616,0.129186
vkitti,1,0.5,1,40,0.19155,0.579361,27.8272,0.0975755
vkitti,1,0.5,2,40,0.188813,0.581176,28.2426,0.0970544
vkitti,1,0.5,3,40,0.192817,0.58094,27.73,0.0975441
vkitti,1,0.75,1,40,0.237974,0.574958,24.6791,0.0755784
vkitti,1,0.75,2,40,0.232791,0.579665,24.8788,0.0729678
vkitti,1,0.75,3,40,0.228745,0.5793,24.5198,0.0740369
vkitti,1,1.0,1,40,0.312237,0.604134,20.9679,0.0509897
vkitti,1,1.0,2,40,0.305871,0.617522,20.5315,0.0451203
vkitti,1,1.0,3,40,0.291818,0.606958,20.336,0.0513075
vkitti,2,0.0,1,40,0.17322,0.659975,29.4759,0.170268
vkitti,2,0.0,2,40,0.17322,0.659975,29.4759,0.170268
vkitti,2,0.0,3,40,0.17322,0.659975,29.4759,0.170268
vkitti,2,0.25,1,40,0.2019,0.655149,26.6798,0.138152
vkitti,2,0.25,2,40,0.19735,0.656372,26.9972,0.139417
vkitti,2,0.25,3,40,0.199457,0.655578,26.7041,0.139394
vkitti,2,0.5,1,40,0.242334,0.648021,23.4007,0.105964
vkitti,2,0.5,2,40,0.235253,0.64814,23.9455,0.103101
vkitti,2,0.5,3,40,0.240404,0.649154,23.2311,0.103843
vkitti,2,0.75,1,40,0.31874,0.683785,18.9449,0.077745
vkitti,2,0.75,2,40,0.305276,0.691589,18.7802,0.0721572
vkitti,2,0.75,3,40,0.302972,0.684054,18.4997,0.0777085
vkitti,2,1.0,1,40,0.425419,0.747492,14.1467,0.0494535
vkitti,2,1.0,2,40,0.427363,0.764023,13.4912,0.0460056
vkitti,2,1.0,3,40,0.398783,0.755579,13.2605,0.0491955
vkitti,3,0.0,1,40,0.182635,0.66075,28.8587,0.193706
vkitti,3,0.0,2,40,0.182635,0.66075,28.8587,0.193706
vkitti,3,0.0,3,40,0.182635,0.66075,28.8587,0.193706
vkitti,3,0.25,1,40,0.220443,0.660157,25.5753,0.152441
vkitti,3,0.25,2,40,0.214362,0.660419,26.0293,0.152074
vkitti,3,0.25,3,40,0.216669,0.659965,25.6598,0.151715
vkitti,3,0.5,1,40,0.274238,0.664641,21.4775,0.111049
vkitti,3,0.5,2,40,0.263795,0.661273,22.0961,0.106594
vkitti,3,0.5,3,40,0.271339,0.666557,21.2826,0.107947
vkitti,3,0.75,1,40,0.359908,0.722575,16.1673,0.0765061
vkitti,3,0.75,2,40,0.33772,0.733563,15.7595,0.064932
vkitti,3,0.75,3,40,0.337615,0.724726,15.3747,0.074963
vkitti,3,1.0,1,40,0.46501,0.787876,10.9271,0.0469106
vkitti,3,1.0,2,40,0.468768,0.800333,10.3313,0.0465891
vkitti,3,1.0,3,40,0.437615,0.795615,10.1134,0.0441044
vkitti,4,0.0,1,40,0.188033,0.656403,28.4748,0.200921
vkitti,4,0.0,2,40,0.188033,0.656403,28.4748,0.200921
vkitti,4,0.0,3,40,0.188033,0.656403,28.4748,0.200921
vkitti,4,0.25,1,40,0.229622,0.658698,24.8996,0.158999
vkitti,4,0.25,2,40,0.223565,0.658129,25.397,0.158236
vkitti,4,0.25,3,40,0.22511,0.657646,24.9889,0.157644
vkitti,4,0.5,1,40,0.288448,0.667295,20.6072,0.112952
vkitti,4,0.5,2,40,0.276596,0.663983,21.1228,0.109141
vkitti,4,0.5,3,40,0.286936,0.66778,20.4172,0.111497
vkitti,4,0.75,1,40,0.371755,0.727021,15.2389,0.0756845
vkitti,4,0.75,2,40,0.351808,0.737767,14.8537,0.063068
vkitti,4,0.75,3,40,0.357839,0.727307,14.7227,0.0754634
vkitti,4,1.0,1,40,0.487243,0.782243,10.1669,0.045364
vkitti,4,1.0,2,40,0.481345,0.794006,9.76845,0.0436212
vkitti,4,1.0,3,40,0.459175,0.788393,9.64115,0.0426805
vkitti,5,0.0,1,40,0.190366,0.655222,28.3489,0.218704
