dataset,epoch,severity,seed,n_clips,aligned_abs_rel,abs_rel,pred_depth_span,boundary_f1
tartanair,0,0.0,1,40,0.589916,0.937904,0.0221682,0.0121749
tartanair,0,0.0,2,40,0.589916,0.937904,0.0221682,0.0121749
tartanair,0,0.0,3,40,0.589916,0.937904,0.0221682,0.0121749
tartanair,0,0.25,1,40,0.587657,0.937907,0.0223588,0.0120505
tartanair,0,0.25,2,40,0.587391,0.937916,0.0225862,0.0121523
tartanair,0,0.25,3,40,0.587684,0.937949,0.0224826,0.0122199
tartanair,0,0.5,1,40,0.587026,0.93804,0.0221088,0.0118349
tartanair,0,0.5,2,40,0.586454,0.938103,0.0225236,0.0117551
tartanair,0,0.5,3,40,0.585904,0.938161,0.0220865,0.0119257
tartanair,0,0.75,1,40,0.586322,0.938307,0.021554,0.0115928
tartanair,0,0.75,2,40,0.585979,0.938371,0.0218766,0.0112499
tartanair,0,0.75,3,40,0.585369,0.938345,0.0213653,0.0114548
tartanair,0,1.0,1,40,0.587522,0.938414,0.0207487,0.011244
tartanair,0,1.0,2,40,0.588315,0.938387,0.0201487,0.0108176
tartanair,0,1.0,3,40,0.587746,0.938249,0.0196085,0.0110846
tartanair,1,0.0,1,40,0.251974,0.689446,15.5946,0.301155
tartanair,1,0.0,2,40,0.251974,0.689446,15.5946,0.301155
tartanair,1,0.0,3,40,0.251974,0.689446,15.5946,0.301155
tartanair,1,0.25,1,40,0.303974,0.755009,12.8697,0.234503
tartanair,1,0.25,2,40,0.296287,0.753927,13.3491,0.244568
tartanair,1,0.25,3,40,0.294818,0.743259,12.9696,0.241884
tartanair,1,0.5,1,40,0.35516,0.692781,9.61475,0.162718
tartanair,1,0.5,2,40,0.347102,0.675538,10.1587,0.168444
tartanair,1,0.5,3,40,0.337264,0.659685,9.46764,0.169109
tartanair,1,0.75,1,40,0.411784,0.556874,6.15902,0.104649
tartanair,1,0.75,2,40,0.399854,0.578456,6.91543,0.108312
tartanair,1,0.75,3,40,0.395091,0.542868,6.30853,0.106441
tartanair,1,1.0,1,40,0.453155,0.491376,3.79642,0.0729715
tartanair,1,1.0,2,40,0.444327,0.503152,4.4334,0.0685827
tartanair,1,1.0,3,40,0.449397,0.468732,3.71253,0.0702323
tartanair,2,0.0,1,40,0.191442,0.731324,16.1299,0.291842
tartanair,2,0.0,2,40,0.191442,0.731324,16.1299,0.291842
tartanair,2,0.0,3,40,0.191442,0.731324,16.1299,0.291842
tartanair,2,0.25,1,40,0.245516,0.82578,14.5275,0.234593
tartanair,2,0.25,2,40,0.24548,0.845272,14.9493,0.240284
tartanair,2,0.25,3,40,0.237113,0.826991,14.741,0.23827
tartanair,2,0.5,1,40,0.309541,0.790226,11.6745,0.164811
tartanair,2,0.5,2,40,0.302384,0.806873,12.4774,0.171097
tartanair,2,0.5,3,40,0.289992,0.802083,11.9455,0.172549
tartanair,2,0.75,1,40,0.390419,0.679394,8.75917,0.099828
tartanair,2,0.75,2,40,0.373017,0.700359,9.30946,0.106521
tartanair,2,0.75,3,40,0.373777,0.680858,9.06426,0.108584
tartanair,2,1.0,1,40,0.451935,0.581535,6.5505,0.0664479
tartanair,2,1.0,2,40,0.435668,0.600763,6.8664,0.0646173
tartanair,2,1.0,3,40,0.445525,0.556093,6.00606,0.0594609
tartanair,3,0.0,1,40,0.166286,1.03536,15.817,0.361597
tartanair,3,0.0,2,40,0.166286,1.03536,15.817,0.361597
tartanair,3,0.0,3,40,0.166286,1.03536,15.817,0.361597
tartanair,3,0.25,1,40,0.241543,1.12245,13.682,0.278231
tartanair,3,0.25,2,40,0.237696,1.10305,14.1706,0.287044
tartanair,3,0.25,3,40,0.226829,1.13448,13.8592,0.281524
tartanair,3,0.5,1,40,0.311346,1.04009,10.4858,0.194045
tartanair,3,0.5,2,40,0.301643,1.02161,11.05,0.202073
tartanair,3,0.5,3,40,0.2907,1.0496,10.5887,0.196228
tartanair,3,0.75,1,40,0.396024,0.851992,7.42627,0.115895
tartanair,3,0.75,2,40,0.379628,0.86484,7.93006,0.127795
tartanair,3,0.75,3,40,0.375823,0.885249,7.76826,0.126761
tartanair,3,1.0,1,40,0.452362,0.721525,5.38976,0.0752911
tartanair,3,1.0,2,40,0.445457,0.718633,5.64861,0.0812006
tartanair,3,1.0,3,40,0.448332,0.728262,5.41199,0.0785451
tartanair,4,0.0,1,40,0.148252,0.880525,16.7648,0.360792
tartanair,4,0.0,2,40,0.148252,0.880525,16.7648,0.360792
tartanair,4,0.0,3,40,0.148252,0.880525,16.7648,0.360792
tartanair,4,0.25,1,40,0.220487,0.907847,15.2147,0.283583
tartanair,4,0.25,2,40,0.21631,0.914165,15.508,0.290329
tartanair,4,0.25,3,40,0.206714,0.915412,15.3758,0.285799
tartanair,4,0.5,1,40,0.289374,0.791882,12.0154,0.199981
tartanair,4,0.5,2,40,0.275223,0.805965,12.7474,0.209605
tartanair,4,0.5,3,40,0.273515,0.803388,12.2785,0.205686
