dataset,epoch,severity,seed,n_clips,aligned_abs_rel,abs_rel,pred_depth_span,boundary_f1
vkitti,0,0.0,1,40,inf,inf,0,0
vkitti,0,0.0,2,40,inf,inf,0,0
vkitti,0,0.0,3,40,inf,inf,0,0
vkitti,0,0.25,1,40,inf,inf,0,0
vkitti,0,0.25,2,40,inf,inf,0,0
vkitti,0,0.25,3,40,inf,inf,0,0
vkitti,0,0.5,1,40,inf,inf,0,0
vkitti,0,0.5,2,40,inf,inf,0,0
vkitti,0,0.5,3,40,inf,inf,0,0
vkitti,0,0.75,1,40,inf,inf,0,0
vkitti,0,0.75,2,40,inf,inf,0,0
vkitti,0,0.75,3,40,inf,inf,0,0
vkitti,0,1.0,1,40,inf,inf,0,0
vkitti,0,1.0,2,40,inf,inf,0,0
vkitti,0,1.0,3,40,inf,inf,0,0
vkitti,1,0.0,1,40,0.155191,0.662792,30.1769,0.138165
vkitti,1,0.0,2,40,0.155191,0.662792,30.1769,0.138165
vkitti,1,0.0,3,40,0.155191,0.662792,30.1769,0.138165
vkitti,1,0.25,1,40,0.182866,0.654243,27.8187,0.118613
vkitti,1,0.25,2,40,0.178936,0.655188,28.1202,0.118265
vkitti,1,0.25,3,40,0.179069,0.655081,27.7604,0.119834
vkitti,1,0.5,1,40,0.219183,0.650446,25.0734,0.0945534
vkitti,1,0.5,2,40,0.215958,0.64884,25.5199,0.0919485
vkitti,1,0.5,3,40,0.21992,0.653607,24.7871,0.0943437
vkitti,1,0.75,1,40,0.312017,0.706124,20.0687,0.0645394
vkitti,1,0.75,2,40,0.300959,0.715537,20.0788,0.0581023
vkitti,1,0.75,3,40,0.296642,0.713257,18.848,0.0650949
vkitti,1,1.0,1,40,0.402226,0.784447,13.9315,0.0355678
vkitti,1,1.0,2,40,0.395883,0.794221,13.5167,0.0360605
vkitti,1,1.0,3,40,0.382958,0.797012,11.9193,0.0334511
vkitti,2,0.0,1,40,0.180055,0.658693,27.1167,0.201836
vkitti,2,0.0,2,40,0.180055,0.658693,27.1167,0.201836
vkitti,2,0.0,3,40,0.180055,0.658693,27.1167,0.201836
vkitti,2,0.25,1,40,0.217635,0.663595,23.8335,0.164916
vkitti,2,0.25,2,40,0.211756,0.662933,24.2648,0.1661
vkitti,2,0.25,3,40,0.214675,0.663944,23.9011,0.163853
vkitti,2,0.5,1,40,0.259563,0.66925,20.6125,0.122548
vkitti,2,0.5,2,40,0.251,0.665688,21.4058,0.123165
vkitti,2,0.5,3,40,0.257792,0.668381,20.5568,0.122275
vkitti,2,0.75,1,40,0.326495,0.717171,16.6478,0.0856413
vkitti,2,0.75,2,40,0.312495,0.718924,17.2586,0.077708
vkitti,2,0.75,3,40,0.312749,0.716022,16.1702,0.0857404
vkitti,2,1.0,1,40,0.383663,0.780799,12.6354,0.0490085
vkitti,2,1.0,2,40,0.369197,0.78837,12.4566,0.0498342
vkitti,2,1.0,3,40,0.367489,0.787258,11.4735,0.0475834
vkitti,3,0.0,1,40,0.179932,0.637952,29.7982,0.201217
vkitti,3,0.0,2,40,0.179932,0.637952,29.7982,0.201217
vkitti,3,0.0,3,40,0.179932,0.637952,29.7982,0.201217
vkitti,3,0.25,1,40,0.223148,0.643475,26.0846,0.174686
vkitti,3,0.25,2,40,0.21576,0.643018,26.6117,0.175122
vkitti,3,0.25,3,40,0.218758,0.643594,26.0869,0.174339
vkitti,3,0.5,1,40,0.284435,0.653922,22.1597,0.134751
vkitti,3,0.5,2,40,0.27027,0.648728,22.7467,0.132331
vkitti,3,0.5,3,40,0.284365,0.653585,22.0853,0.13496
vkitti,3,0.75,1,40,0.384679,0.703588,17.1227,0.0967977
vkitti,3,0.75,2,40,0.362049,0.709636,17.0246,0.089561
vkitti,3,0.75,3,40,0.376262,0.707768,16.6144,0.0983896
vkitti,3,1.0,1,40,0.445472,0.761078,12.3645,0.0579014
vkitti,3,1.0,2,40,0.434294,0.772851,11.7322,0.0549226
vkitti,3,1.0,3,40,0.437532,0.772307,11.4465,0.0586653
vkitti,4,0.0,1,40,0.187203,0.664925,27.8024,0.217052
vkitti,4,0.0,2,40,0.187203,0.664925,27.8024,0.217052
vkitti,4,0.0,3,40,0.187203,0.664925,27.8024,0.217052
vkitti,4,0.25,1,40,0.243498,0.673118,24.2119,0.180718
vkitti,4,0.25,2,40,0.236593,0.671811,24.8646,0.181433
vkitti,4,0.25,3,40,0.23784,0.672756,24.3758,0.179838
vkitti,4,0.5,1,40,0.305285,0.690054,20.1558,0.134279
vkitti,4,0.5,2,40,0.285886,0.684361,20.9108,0.129274
vkitti,4,0.5,3,40,0.30702,0.688206,20.3513,0.132497
vkitti,4,0.75,1,40,0.366783,0.754233,15.0183,0.0853873
vkitti,4,0.75,2,40,0.344794,0.761252,15.1527,0.0776207
vkitti,4,0.75,3,40,0.358771,0.7574,14.4632,0.0897864
vkitti,4,1.0,1,40,0.410981,0.819575,10.4003,0.0515127
vkitti,4,1.0,2,40,0.407567,0.831043,10.1661,0.051926
vkitti,4,1.0,3,40,0.397487,0.829147,9.32667,0.0540244
vkitti,5,0.0,1,40,0.18258,0.652784,28.5167,0.22175
vkitti,5,0.0,2,40,0.18258,0.652784,28.5167,0.22175
vkitti,5,0.0,3,40,0.18258,0.652784,28.5167,0.22175
vkitti,5,0.25,1,40,0.234857,0.664538,24.7692,0.186182
vkitti,5,0.25,2,40,0.226762,0.662636,25.4119,0.186137
vkitti,5,0.25,3,40,0.228841,0.663931,24.9424,0.18573
vkitti,5,0.5,1,40,0.299534,0.683408,20.7884,0.136582
vkitti,5,0.5,2,40,0.282098,0.67663,21.5915,0.133517
vkitti,5,0.5,3,40,0.301843,0.681443,21.0525,0.135914
vkitti,5,0.75,1,40,0.369651,0.749662,15.5382,0.0870552
vkitti,5,0.75,2,40,0.350067,0.757221,15.6146,0.0767224
vkitti,5,0.75,3,40,0.364247,0.752698,14.8771,0.0913188
vkitti,5,1.0,1,40,0.427678,0.812229,10.5812,0.0519674
vkitti,5,1.0,2,40,0.430513,0.824808,10.1853,0.0499761
vkitti,5,1.0,3,40,0.419723,0.824317,9.38976,0.0528547
vkitti,6,0.0,1,40,0.188746,0.653854,28.0364,0.232347
vkitti,6,0.0,2,40,0.188746,0.653854,28.0364,0.232347
vkitti,6,0.0,3,40,0.188746,0.653854,28.0364,0.232347
vkitti,6,0.25,1,40,0.245403,0.667221,24.0852,0.193573
vkitti,6,0.25,2,40,0.236901,0.665164,24.7762,0.193333
vkitti,6,0.25,3,40,0.238924,0.66645,24.2798,0.192047
vkitti,6,0.5,1,40,0.31531,0.68735,19.9983,0.139988
vkitti,6,0.5,2,40,0.297422,0.680239,20.8657,0.135932
vkitti,6,0.5,3,40,0.317232,0.685533,20.2864,0.138194
vkitti,6,0.75,1,40,0.385114,0.754367,14.9071,0.090489
vkitti,6,0.75,2,40,0.36207,0.761946,14.9595,0.0788761
vkitti,6,0.75,3,40,0.38016,0.758513,14.2341,0.0937399
vkitti,6,1.0,1,40,0.441307,0.818674,10.0762,0.0570551
vkitti,6,1.0,2,40,0.438643,0.82991,9.73782,0.0533861
vkitti,6,1.0,3,40,0.433014,0.82986,8.95919,0.0579758
