dataset,epoch,severity,seed,n_clips,aligned_abs_rel,abs_rel,pred_depth_span,boundary_f1
tartanair,0,0.0,1,40,0.575881,0.985281,0.0370305,0.246364
tartanair,0,0.0,2,40,0.575881,0.985281,0.0370305,0.246364
tartanair,0,0.0,3,40,0.575881,0.985281,0.0370305,0.246364
tartanair,0,0.25,1,40,0.578269,0.984849,0.0361058,0.24509
tartanair,0,0.25,2,40,0.578775,0.984793,0.0358637,0.244763
tartanair,0,0.25,3,40,0.578208,0.984795,0.0358893,0.244246
tartanair,0,0.5,1,40,0.580414,0.984513,0.0346777,0.243619
tartanair,0,0.5,2,40,0.581632,0.984402,0.03429,0.242486
tartanair,0,0.5,3,40,0.58048,0.984372,0.0339153,0.241557
tartanair,0,0.75,1,40,0.583455,0.984183,0.0328801,0.242814
tartanair,0,0.75,2,40,0.584297,0.984063,0.0314826,0.242431
tartanair,0,0.75,3,40,0.582866,0.984047,0.0315155,0.24222
tartanair,0,1.0,1,40,0.584834,0.983996,0.0308826,0.243442
tartanair,0,1.0,2,40,0.585443,0.983929,0.0297308,0.243014
tartanair,0,1.0,3,40,0.584082,0.98398,0.0294216,0.243291
tartanair,1,0.0,1,40,0.185372,0.284805,8.93018,0.37668
tartanair,1,0.0,2,40,0.185372,0.284805,8.93018,0.37668
tartanair,1,0.0,3,40,0.185372,0.284805,8.93018,0.37668
tartanair,1,0.25,1,40,0.243269,0.359246,7.83761,0.30752
tartanair,1,0.25,2,40,0.247488,0.366998,8.13941,0.313313
tartanair,1,0.25,3,40,0.232374,0.344624,8.00276,0.312193
tartanair,1,0.5,1,40,0.299243,0.420711,6.71452,0.241899
tartanair,1,0.5,2,40,0.299871,0.419926,7.08945,0.245041
tartanair,1,0.5,3,40,0.282005,0.403402,6.95472,0.244056
tartanair,1,0.75,1,40,0.354313,0.455562,5.84859,0.172974
tartanair,1,0.75,2,40,0.353646,0.452548,5.94516,0.180058
tartanair,1,0.75,3,40,0.342901,0.444149,5.95906,0.180608
tartanair,1,1.0,1,40,0.401208,0.46064,5.0111,0.120652
tartanair,1,1.0,2,40,0.394315,0.456226,5.07604,0.126997
tartanair,1,1.0,3,40,0.39625,0.455465,5.00699,0.126808
tartanair,2,0.0,1,40,0.163241,0.352543,10.3047,0.37562
tartanair,2,0.0,2,40,0.163241,0.352543,10.3047,0.37562
tartanair,2,0.0,3,40,0.163241,0.352543,10.3047,0.37562
tartanair,2,0.25,1,40,0.227742,0.419099,9.43429,0.31376
tartanair,2,0.25,2,40,0.229927,0.421558,9.72097,0.317981
tartanair,2,0.25,3,40,0.218664,0.417523,9.65234,0.316069
tartanair,2,0.5,1,40,0.284443,0.459457,8.22803,0.249415
tartanair,2,0.5,2,40,0.285733,0.447137,8.5597,0.250964
tartanair,2,0.5,3,40,0.270614,0.451559,8.46277,0.246586
tartanair,2,0.75,1,40,0.348655,0.459398,6.74369,0.16792
tartanair,2,0.75,2,40,0.340271,0.44546,6.99919,0.177145
tartanair,2,0.75,3,40,0.335717,0.455809,6.98654,0.178481
tartanair,2,1.0,1,40,0.409066,0.432024,5.07897,0.107792
tartanair,2,1.0,2,40,0.395285,0.420256,5.5706,0.1129
tartanair,2,1.0,3,40,0.399425,0.434139,5.25341,0.117753
tartanair,3,0.0,1,40,0.142862,0.429109,10.87,0.394373
tartanair,3,0.0,2,40,0.142862,0.429109,10.87,0.394373
tartanair,3,0.0,3,40,0.142862,0.429109,10.87,0.394373
tartanair,3,0.25,1,40,0.217101,0.506556,10.0187,0.326816
tartanair,3,0.25,2,40,0.217441,0.508165,10.2778,0.330655
tartanair,3,0.25,3,40,0.205314,0.500755,10.1533,0.328614
tartanair,3,0.5,1,40,0.279449,0.518155,8.43429,0.252484
tartanair,3,0.5,2,40,0.275806,0.503926,8.77341,0.256242
tartanair,3,0.5,3,40,0.268348,0.519967,8.5708,0.25084
tartanair,3,0.75,1,40,0.363755,0.47959,6.44433,0.159915
tartanair,3,0.75,2,40,0.341628,0.469371,6.93738,0.172616
tartanair,3,0.75,3,40,0.341353,0.488983,6.61205,0.174453
tartanair,3,1.0,1,40,0.42886,0.444056,4.32266,0.094783
tartanair,3,1.0,2,40,0.409234,0.425335,5.12334,0.104232
tartanair,3,1.0,3,40,0.414743,0.455175,4.6238,0.105235
tartanair,4,0.0,1,40,0.135394,0.447544,10.9015,0.416616
tartanair,4,0.0,2,40,0.135394,0.447544,10.9015,0.416616
tartanair,4,0.0,3,40,0.135394,0.447544,10.9015,0.416616
tartanair,4,0.25,1,40,0.219239,0.498741,9.914,0.343168
tartanair,4,0.25,2,40,0.217329,0.500094,10.1757,0.349467
tartanair,4,0.25,3,40,0.205378,0.497032,10.0592,0.346022
tartanair,4,0.5,1,40,0.285923,0.491347,8.20312,0.258927
tartanair,4,0.5,2,40,0.278566,0.469689,8.61262,0.265092
tartanair,4,0.5,3,40,0.270987,0.487712,8.43455,0.260062
tartanair,4,0.75,1,40,0.368228,0.431267,5.992,0.156333
tartanair,4,0.75,2,40,0.344777,0.424327,6.59624,0.174099
tartanair,4,0.75,3,40,0.347575,0.449327,6.23169,0.176786
tartanair,4,1.0,1,40,0.441468,0.407848,3.86469,0.0905192
tartanair,4,1.0,2,40,0.417842,0.390491,4.64218,0.101798
tartanair,4,1.0,3,40,0.424583,0.419254,4.05824,0.105676
tartanair,5,0.0,1,40,0.129458,0.436549,10.594,0.42667
tartanair,5,0.0,2,40,0.129458,0.436549,10.594,0.42667
tartanair,5,0.0,3,40,0.129458,0.436549,10.594,0.42667
tartanair,5,0.25,1,40,0.218703,0.478551,9.62088,0.351514
tartanair,5,0.25,2,40,0.215595,0.479113,9.87057,0.358411
tartanair,5,0.25,3,40,0.204523,0.476741,9.78989,0.354807
tartanair,5,0.5,1,40,0.289611,0.466577,7.92309,0.26272
tartanair,5,0.5,2,40,0.279478,0.443876,8.31528,0.270417
tartanair,5,0.5,3,40,0.272155,0.467704,8.18548,0.265542
tartanair,5,0.75,1,40,0.373408,0.408834,5.74326,0.155998
tartanair,5,0.75,2,40,0.348826,0.400062,6.30319,0.171613
tartanair,5,0.75,3,40,0.355163,0.43101,5.90962,0.175522
tartanair,5,1.0,1,40,0.452176,0.401709,3.73869,0.0839726
tartanair,5,1.0,2,40,0.426496,0.386233,4.32016,0.0966991
tartanair,5,1.0,3,40,0.436595,0.411765,3.70581,0.103645
tartanair,6,0.0,1,40,0.127412,0.429972,10.5196,0.430174
tartanair,6,0.0,2,40,0.127412,0.429972,10.5196,0.430174
