dataset,epoch,severity,seed,n_clips,aligned_abs_rel,abs_rel,pred_depth_span,boundary_f1
vkitti,0,0.0,1,40,inf,inf,0,0
vkitti,0,0.0,2,40,inf,inf,0,0
vkitti,0,0.0,3,40,inf,inf,0,0
vkitti,0,0.25,1,40,inf,inf,0,0
vkitti,0,0.25,2,40,inf,inf,0,0
vkitti,0,0.25,3,40,inf,inf,0,0
vkitti,0,0.5,1,40,inf,inf,0,0
vkitti,0,0.5,2,40,inf,inf,0,0
vkitti,0,0.5,3,40,inf,inf,0,0
vkitti,0,0.75,1,40,inf,inf,0,0
vkitti,0,0.75,2,40,inf,inf,0,0
vkitti,0,0.75,3,40,inf,inf,0,0
vkitti,0,1.0,1,40,inf,inf,0,0
vkitti,0,1.0,2,40,inf,inf,0,0
vkitti,0,1.0,3,40,inf,inf,0,0
vkitti,1,0.0,1,40,0.170106,0.803441,15.127,0.183748
vkitti,1,0.0,2,40,0.170106,0.803441,15.127,0.183748
vkitti,1,0.0,3,40,0.170106,0.803441,15.127,0.183748
vkitti,1,0.25,1,40,0.187884,0.803883,13.9515,0.155593
vkitti,1,0.25,2,40,0.185521,0.804361,14.0521,0.157588
vkitti,1,0.25,3,40,0.187325,0.80393,13.9478,0.15769
vkitti,1,0.5,1,40,0.208562,0.79738,13.0072,0.118861
vkitti,1,0.5,2,40,0.204656,0.797648,13.1585,0.117016
vkitti,1,0.5,3,40,0.209152,0.79741,12.9213,0.118641
vkitti,1,0.75,1,40,0.258543,0.794827,11.6261,0.0930532
vkitti,1,0.75,2,40,0.25283,0.797668,11.6574,0.0880541
vkitti,1,0.75,3,40,0.247764,0.796129,11.5514,0.0915623
vkitti,1,1.0,1,40,0.323084,0.8118,10.0672,0.0700843
vkitti,1,1.0,2,40,0.305867,0.82009,9.8945,0.0616684
vkitti,1,1.0,3,40,0.304294,0.812787,9.87389,0.0695647
vkitti,2,0.0,1,40,0.179139,0.789795,17.1646,0.190169
vkitti,2,0.0,2,40,0.179139,0.789795,17.1646,0.190169
vkitti,2,0.0,3,40,0.179139,0.789795,17.1646,0.190169
vkitti,2,0.25,1,40,0.210166,0.786633,15.1873,0.157682
vkitti,2,0.25,2,40,0.205819,0.788056,15.3482,0.159248
vkitti,2,0.25,3,40,0.207945,0.78723,15.1533,0.15966
vkitti,2,0.5,1,40,0.248232,0.777386,13.2909,0.118771
vkitti,2,0.5,2,40,0.240119,0.778413,13.5518,0.115608
vkitti,2,0.5,3,40,0.246231,0.778135,13.0645,0.117715
vkitti,2,0.75,1,40,0.31659,0.784204,10.937,0.0880176
vkitti,2,0.75,2,40,0.301789,0.789313,10.9329,0.0797555
vkitti,2,0.75,3,40,0.298772,0.786177,10.65,0.0863694
vkitti,2,1.0,1,40,0.377685,0.81097,8.53939,0.0550973
vkitti,2,1.0,2,40,0.360154,0.821765,8.28536,0.0504438
vkitti,2,1.0,3,40,0.356418,0.817288,8.09204,0.0556947
vkitti,3,0.0,1,40,0.185469,0.768379,18.8985,0.203276
vkitti,3,0.0,2,40,0.185469,0.768379,18.8985,0.203276
vkitti,3,0.0,3,40,0.185469,0.768379,18.8985,0.203276
vkitti,3,0.25,1,40,0.220759,0.76532,16.5163,0.162078
vkitti,3,0.25,2,40,0.21524,0.766618,16.7449,0.163149
vkitti,3,0.25,3,40,0.216703,0.765997,16.4749,0.162354
vkitti,3,0.5,1,40,0.266131,0.757001,13.963,0.117195
vkitti,3,0.5,2,40,0.25628,0.75727,14.3017,0.114467
vkitti,3,0.5,3,40,0.262177,0.758425,13.7983,0.117773
vkitti,3,0.75,1,40,0.335119,0.776908,10.7821,0.0806182
vkitti,3,0.75,2,40,0.323655,0.783203,10.7465,0.0720829
vkitti,3,0.75,3,40,0.324926,0.779129,10.4468,0.0801509
vkitti,3,1.0,1,40,0.391503,0.812158,7.83067,0.04604
vkitti,3,1.0,2,40,0.381596,0.824195,7.59196,0.0429253
vkitti,3,1.0,3,40,0.380253,0.821238,7.30238,0.0466632
vkitti,4,0.0,1,40,0.190494,0.766305,18.8956,0.231115
vkitti,4,0.0,2,40,0.190494,0.766305,18.8956,0.231115
vkitti,4,0.0,3,40,0.190494,0.766305,18.8956,0.231115
vkitti,4,0.25,1,40,0.23391,0.766544,16.2382,0.184272
vkitti,4,0.25,2,40,0.22707,0.767153,16.5194,0.183442
vkitti,4,0.25,3,40,0.227767,0.766805,16.2366,0.183507
vkitti,4,0.5,1,40,0.283013,0.763618,13.4134,0.133656
vkitti,4,0.5,2,40,0.27062,0.763018,13.8421,0.128293
vkitti,4,0.5,3,40,0.278853,0.764421,13.3718,0.131999
vkitti,4,0.75,1,40,0.353301,0.789374,10.0467,0.0894601
vkitti,4,0.75,2,40,0.346453,0.794192,10.1814,0.0784393
vkitti,4,0.75,3,40,0.350112,0.791104,9.76328,0.0900847
vkitti,4,1.0,1,40,0.43019,0.826067,7.0359,0.0526595
vkitti,4,1.0,2,40,0.424489,0.838959,6.88048,0.0494304
vkitti,4,1.0,3,40,0.422283,0.832517,6.58607,0.0549601
vkitti,5,0.0,1,40,0.19412,0.762261,18.632,0.246143
vkitti,5,0.0,2,40,0.19412,0.762261,18.632,0.246143
vkitti,5,0.0,3,40,0.19412,0.762261,18.632,0.246143
vkitti,5,0.25,1,40,0.242122,0.763551,15.8619,0.197225
vkitti,5,0.25,2,40,0.23466,0.763918,16.1938,0.195537
vkitti,5,0.25,3,40,0.234895,0.763524,15.8851,0.195856
vkitti,5,0.5,1,40,0.28986,0.75967,13.2031,0.144887
vkitti,5,0.5,2,40,0.277628,0.759164,13.64,0.137982
vkitti,5,0.5,3,40,0.2901,0.760615,13.2006,0.142471
vkitti,5,0.75,1,40,0.355908,0.78603,9.96915,0.100108
vkitti,5,0.75,2,40,0.351114,0.791567,10.0854,0.0862805
vkitti,5,0.75,3,40,0.359303,0.787569,9.70755,0.100706
vkitti,5,1.0,1,40,0.434349,0.822693,7.02585,0.0613029
vkitti,5,1.0,2,40,0.427138,0.838455,6.83294,0.056216
vkitti,5,1.0,3,40,0.433514,0.828565,6.61067,0.0641187
vkitti,6,0.0,1,40,0.194165,0.761148,18.6771,0.252598
vkitti,6,0.0,2,40,0.194165,0.761148,18.6771,0.252598
vkitti,6,0.0,3,40,0.194165,0.761148,18.6771,0.252598
vkitti,6,0.25,1,40,0.245331,0.763237,15.82,0.204838
vkitti,6,0.25,2,40,0.237553,0.763429,16.1905,0.202682
vkitti,6,0.25,3,40,0.238004,0.763154,15.8602,0.203143
vkitti,6,0.5,1,40,0.295152,0.759924,13.1886,0.150515
vkitti,6,0.5,2,40,0.282333,0.75914,13.6446,0.142087
vkitti,6,0.5,3,40,0.298068,0.760912,13.2176,0.147553
vkitti,6,0.75,1,40,0.35758,0.788301,9.9691,0.103195
vkitti,6,0.75,2,40,0.354155,0.795053,10.0433,0.0881125
vkitti,6,0.75,3,40,0.363059,0.790446,9.67564,0.104196
vkitti,6,1.0,1,40,0.430543,0.82623,6.97303,0.0639206
vkitti,6,1.0,2,40,0.428283,0.84355,6.7494,0.0573487
vkitti,6,1.0,3,40,0.434239,0.833277,6.53255,0.0666808
