dataset,epoch,severity,seed,n_clips,aligned_abs_rel,abs_rel,pred_depth_span,boundary_f1
tartanair,0,0.0,1,40,0.586098,0.919281,0.0252817,0.0154793
tartanair,0,0.0,2,40,0.586098,0.919281,0.0252817,0.0154793
tartanair,0,0.0,3,40,0.586098,0.919281,0.0252817,0.0154793
tartanair,0,0.25,1,40,0.586604,0.919128,0.0240823,0.015578
tartanair,0,0.25,2,40,0.586931,0.919096,0.0238848,0.0153894
tartanair,0,0.25,3,40,0.586377,0.919077,0.0238958,0.0155525
tartanair,0,0.5,1,40,0.587003,0.918882,0.0226006,0.0160207
tartanair,0,0.5,2,40,0.588918,0.918834,0.0220627,0.0158648
tartanair,0,0.5,3,40,0.589035,0.918861,0.0222307,0.0157038
tartanair,0,0.75,1,40,0.589168,0.918835,0.0213021,0.0161058
tartanair,0,0.75,2,40,0.590729,0.918832,0.0209146,0.0160348
tartanair,0,0.75,3,40,0.590875,0.918952,0.0208719,0.0157932
tartanair,0,1.0,1,40,0.590757,0.919014,0.0202174,0.0159888
tartanair,0,1.0,2,40,0.590287,0.919043,0.0201358,0.0160271
tartanair,0,1.0,3,40,0.591498,0.919172,0.0200363,0.0157528
tartanair,1,0.0,1,40,0.188024,0.837543,11.9297,0.366119
tartanair,1,0.0,2,40,0.188024,0.837543,11.9297,0.366119
tartanair,1,0.0,3,40,0.188024,0.837543,11.9297,0.366119
tartanair,1,0.25,1,40,0.27365,0.902577,9.9343,0.272456
tartanair,1,0.25,2,40,0.268317,0.872942,10.5247,0.28274
tartanair,1,0.25,3,40,0.254724,0.912955,10.3512,0.281736
tartanair,1,0.5,1,40,0.338187,0.864054,8.16004,0.190367
tartanair,1,0.5,2,40,0.324733,0.852109,8.57651,0.195862
tartanair,1,0.5,3,40,0.304242,0.880904,8.88622,0.202231
tartanair,1,0.75,1,40,0.397497,0.789374,7.09262,0.11819
tartanair,1,0.75,2,40,0.373593,0.773982,7.36491,0.125174
tartanair,1,0.75,3,40,0.361427,0.808979,7.60363,0.129793
tartanair,1,1.0,1,40,0.430301,0.72868,6.31262,0.0782742
tartanair,1,1.0,2,40,0.415207,0.697484,6.2761,0.077063
tartanair,1,1.0,3,40,0.4159,0.738099,6.61106,0.0814602
tartanair,2,0.0,1,40,0.164575,0.760824,11.914,0.363954
tartanair,2,0.0,2,40,0.164575,0.760824,11.914,0.363954
tartanair,2,0.0,3,40,0.164575,0.760824,11.914,0.363954
tartanair,2,0.25,1,40,0.249039,0.875331,10.5683,0.276249
tartanair,2,0.25,2,40,0.24762,0.853801,11.0188,0.28652
tartanair,2,0.25,3,40,0.233404,0.889305,10.925,0.28519
tartanair,2,0.5,1,40,0.308871,0.84992,8.8302,0.198631
tartanair,2,0.5,2,40,0.301428,0.840528,9.42473,0.206349
tartanair,2,0.5,3,40,0.280722,0.875564,9.6502,0.207917
tartanair,2,0.75,1,40,0.380472,0.767037,7.27055,0.124455
tartanair,2,0.75,2,40,0.356948,0.755065,7.93233,0.134949
tartanair,2,0.75,3,40,0.341358,0.773762,8.02559,0.136725
