dataset,epoch,severity,seed,n_clips,aligned_abs_rel,abs_rel,pred_depth_span,boundary_f1
vkitti,0,0.0,1,40,1.10184,0.999382,0.0219114,0.311832
vkitti,0,0.0,2,40,1.10184,0.999382,0.0219114,0.311832
vkitti,0,0.0,3,40,1.10184,0.999382,0.0219114,0.311832
vkitti,0,0.25,1,40,1.09894,0.999304,0.0227287,0.305725
vkitti,0,0.25,2,40,1.09813,0.999298,0.022933,0.306058
vkitti,0,0.25,3,40,1.09759,0.999298,0.0229729,0.305579
vkitti,0,0.5,1,40,1.08329,0.999229,0.0232089,0.30802
vkitti,0,0.5,2,40,1.08477,0.999212,0.0231174,0.309217
vkitti,0,0.5,3,40,1.08205,0.999213,0.023437,0.309141
vkitti,0,0.75,1,40,1.08269,0.999163,0.0227819,0.313665
vkitti,0,0.75,2,40,1.08562,0.999143,0.0219974,0.313024
vkitti,0,0.75,3,40,1.08711,0.999154,0.0222747,0.314077
vkitti,0,1.0,1,40,1.09189,0.99914,0.0220302,0.315822
vkitti,0,1.0,2,40,1.09615,0.999133,0.0208646,0.313772
vkitti,0,1.0,3,40,1.09843,0.999141,0.0208564,0.314152
vkitti,1,0.0,1,40,0.138372,0.415959,35.4589,0.188482
vkitti,1,0.0,2,40,0.138372,0.415959,35.4589,0.188482
vkitti,1,0.0,3,40,0.138372,0.415959,35.4589,0.188482
vkitti,1,0.25,1,40,0.151051,0.424949,33.5267,0.164077
vkitti,1,0.25,2,40,0.150387,0.424755,33.5508,0.16348
vkitti,1,0.25,3,40,0.150886,0.425105,33.6152,0.167348
vkitti,1,0.5,1,40,0.159429,0.419122,33.1825,0.130508
vkitti,1,0.5,2,40,0.159623,0.417944,33.1279,0.127235
vkitti,1,0.5,3,40,0.161453,0.418123,33.2355,0.131828
vkitti,1,0.75,1,40,0.186133,0.419971,31.6963,0.103292
vkitti,1,0.75,2,40,0.183709,0.420398,31.565,0.0992165
vkitti,1,0.75,3,40,0.187239,0.418417,31.7823,0.102268
vkitti,1,1.0,1,40,0.240387,0.433554,29.2214,0.0739895
vkitti,1,1.0,2,40,0.238682,0.436538,28.7843,0.0688767
vkitti,1,1.0,3,40,0.234558,0.428912,28.7876,0.0742373
vkitti,2,0.0,1,40,0.153135,0.536864,29.9265,0.183841
vkitti,2,0.0,2,40,0.153135,0.536864,29.9265,0.183841
vkitti,2,0.0,3,40,0.153135,0.536864,29.9265,0.183841
vkitti,2,0.25,1,40,0.168406,0.546242,27.8558,0.158661
vkitti,2,0.25,2,40,0.16682,0.545812,27.9129,0.158172
vkitti,2,0.25,3,40,0.167893,0.546003,27.9115,0.161674
vkitti,2,0.5,1,40,0.178963,0.540479,27.2805,0.125734
vkitti,2,0.5,2,40,0.178308,0.54007,27.2932,0.122929
vkitti,2,0.5,3,40,0.180624,0.540018,27.3133,0.128153
vkitti,2,0.75,1,40,0.211478,0.540052,25.6779,0.098487
vkitti,2,0.75,2,40,0.20767,0.542306,25.7772,0.0947096
vkitti,2,0.75,3,40,0.209375,0.540484,25.7288,0.0977476
vkitti,2,1.0,1,40,0.267833,0.555691,23.2978,0.0691026
vkitti,2,1.0,2,40,0.261875,0.559637,23.0522,0.0623959
vkitti,2,1.0,3,40,0.258997,0.553077,22.8604,0.0685092
vkitti,3,0.0,1,40,0.157198,0.5817,28.3344,0.184003
