dataset,epoch,severity,seed,n_clips,aligned_abs_rel,abs_rel,pred_depth_span,boundary_f1
tartanair,0,0.0,1,40,0.587425,0.957757,0.0229058,0.0646543
tartanair,0,0.0,2,40,0.587425,0.957757,0.0229058,0.0646543
tartanair,0,0.0,3,40,0.587425,0.957757,0.0229058,0.0646543
tartanair,0,0.25,1,40,0.588774,0.957653,0.0230739,0.0647567
tartanair,0,0.25,2,40,0.588832,0.957669,0.0230864,0.0635688
tartanair,0,0.25,3,40,0.588554,0.957576,0.0228914,0.0636663
tartanair,0,0.5,1,40,0.587964,0.957433,0.0231245,0.0629952
tartanair,0,0.5,2,40,0.588736,0.957499,0.0231941,0.0625604
tartanair,0,0.5,3,40,0.588893,0.957364,0.0228242,0.0618334
tartanair,0,0.75,1,40,0.588255,0.957038,0.0229851,0.0604355
tartanair,0,0.75,2,40,0.588853,0.957169,0.0230799,0.0603621
tartanair,0,0.75,3,40,0.588346,0.957124,0.0227439,0.0592215
tartanair,0,1.0,1,40,0.589108,0.956723,0.0226589,0.058501
tartanair,0,1.0,2,40,0.588917,0.956848,0.0227119,0.0581497
tartanair,0,1.0,3,40,0.587877,0.956836,0.0223701,0.0565861
tartanair,1,0.0,1,40,0.203429,0.674525,15.9507,0.330724
tartanair,1,0.0,2,40,0.203429,0.674525,15.9507,0.330724
tartanair,1,0.0,3,40,0.203429,0.674525,15.9507,0.330724
tartanair,1,0.25,1,40,0.231363,0.70767,14.2081,0.282932
tartanair,1,0.25,2,40,0.22279,0.708505,15.1981,0.30047
tartanair,1,0.25,3,40,0.230077,0.74445,15.0717,0.29082
tartanair,1,0.5,1,40,0.265289,0.710906,12.8167,0.241989
tartanair,1,0.5,2,40,0.245455,0.711651,14.0066,0.272258
tartanair,1,0.5,3,40,0.260472,0.771966,13.7246,0.250062
tartanair,1,0.75,1,40,0.296309,0.688093,11.7094,0.20209
tartanair,1,0.75,2,40,0.282532,0.69323,13.059,0.243627
tartanair,1,0.75,3,40,0.297366,0.77005,12.7942,0.211536
tartanair,1,1.0,1,40,0.328936,0.653408,10.6455,0.172087
tartanair,1,1.0,2,40,0.315947,0.68466,12.7387,0.227436
tartanair,1,1.0,3,40,0.331582,0.730152,11.8773,0.181458
tartanair,2,0.0,1,40,0.172555,0.83597,16.6952,0.332546
tartanair,2,0.0,2,40,0.172555,0.83597,16.6952,0.332546
tartanair,2,0.0,3,40,0.172555,0.83597,16.6952,0.332546
tartanair,2,0.25,1,40,0.208495,0.887226,15.3942,0.286329
tartanair,2,0.25,2,40,0.199537,0.877945,15.9964,0.301225
tartanair,2,0.25,3,40,0.207579,0.900966,15.8039,0.287771
tartanair,2,0.5,1,40,0.247156,0.867705,13.6685,0.244284
tartanair,2,0.5,2,40,0.227555,0.851832,14.7577,0.272101
tartanair,2,0.5,3,40,0.246421,0.91944,14.4978,0.24698
tartanair,2,0.75,1,40,0.299893,0.823916,11.916,0.200097
tartanair,2,0.75,2,40,0.268855,0.809718,13.3109,0.241242
tartanair,2,0.75,3,40,0.294362,0.862064,13.0285,0.204561
tartanair,2,1.0,1,40,0.345172,0.765514,10.6573,0.174315
tartanair,2,1.0,2,40,0.317572,0.788254,12.8249,0.227232
tartanair,2,1.0,3,40,0.334188,0.805683,11.6876,0.166626
tartanair,3,0.0,1,40,0.15312,0.982252,17.8819,0.353641
tartanair,3,0.0,2,40,0.15312,0.982252,17.8819,0.353641
tartanair,3,0.0,3,40,0.15312,0.982252,17.8819,0.353641
tartanair,3,0.25,1,40,0.197534,1.0345,16.381,0.30258
tartanair,3,0.25,2,40,0.186562,1.02848,17.0839,0.317938
tartanair,3,0.25,3,40,0.194528,1.04626,16.7891,0.305602
tartanair,3,0.5,1,40,0.242765,0.979276,14.2062,0.254661
tartanair,3,0.5,2,40,0.220337,0.990627,15.5059,0.284542
tartanair,3,0.5,3,40,0.237626,1.02557,15.3593,0.261004
tartanair,3,0.75,1,40,0.295446,0.898523,12.4829,0.203209
tartanair,3,0.75,2,40,0.267591,0.917658,14.1205,0.253409
