dataset,epoch,severity,seed,n_clips,aligned_abs_rel,abs_rel,pred_depth_span,boundary_f1
vkitti,0,0.0,1,40,0.878482,0.99652,0.0437478,0.180732
vkitti,0,0.0,2,40,0.878482,0.99652,0.0437478,0.180732
vkitti,0,0.0,3,40,0.878482,0.99652,0.0437478,0.180732
vkitti,0,0.25,1,40,0.919496,0.996409,0.0425834,0.19126
vkitti,0,0.25,2,40,0.908318,0.996443,0.0429511,0.188277
vkitti,0,0.25,3,40,0.902954,0.996445,0.0426652,0.188584
vkitti,0,0.5,1,40,0.964399,0.996327,0.041108,0.201682
vkitti,0,0.5,2,40,0.950132,0.996371,0.0417236,0.196746
vkitti,0,0.5,3,40,0.940166,0.996364,0.041108,0.197689
vkitti,0,0.75,1,40,0.99443,0.996302,0.0395708,0.209208
vkitti,0,0.75,2,40,0.981376,0.996352,0.0404159,0.202521
vkitti,0,0.75,3,40,0.971482,0.996333,0.0393927,0.204633
vkitti,0,1.0,1,40,1.01277,0.996293,0.0382234,0.215966
vkitti,0,1.0,2,40,0.999958,0.996337,0.0396088,0.208842
vkitti,0,1.0,3,40,0.987979,0.996325,0.0381174,0.210234
vkitti,1,0.0,1,40,0.157371,0.594166,32.1919,0.1577
vkitti,1,0.0,2,40,0.157371,0.594166,32.1919,0.1577
vkitti,1,0.0,3,40,0.157371,0.594166,32.1919,0.1577
vkitti,1,0.25,1,40,0.172249,0.594446,30.634,0.137184
vkitti,1,0.25,2,40,0.165207,0.594953,31.29,0.144012
vkitti,1,0.25,3,40,0.167554,0.59453,31.1254,0.142504
vkitti,1,0.5,1,40,0.192806,0.583032,29.5286,0.114083
vkitti,1,0.5,2,40,0.178973,0.585873,30.3465,0.127624
vkitti,1,0.5,3,40,0.180592,0.582016,30.2057,0.118122
vkitti,1,0.75,1,40,0.228332,0.57392,28.2254,0.0983479
vkitti,1,0.75,2,40,0.207338,0.579637,29.4198,0.114474
vkitti,1,0.75,3,40,0.21291,0.571264,28.7409,0.099378
vkitti,1,1.0,1,40,0.276449,0.588938,26.5736,0.0842303
vkitti,1,1.0,2,40,0.242521,0.601237,28.2147,0.101655
vkitti,1,1.0,3,40,0.260914,0.582799,26.9114,0.0846208
vkitti,2,0.0,1,40,0.174462,0.640836,30.9278,0.169161
vkitti,2,0.0,2,40,0.174462,0.640836,30.9278,0.169161
vkitti,2,0.0,3,40,0.174462,0.640836,30.9278,0.169161
vkitti,2,0.25,1,40,0.200315,0.64255,28.7451,0.144937
vkitti,2,0.25,2,40,0.187306,0.642785,29.6472,0.154652
vkitti,2,0.25,3,40,0.190398,0.642224,29.4252,0.151375
vkitti,2,0.5,1,40,0.236509,0.634134,27.3648,0.124315
vkitti,2,0.5,2,40,0.210954,0.637195,28.4715,0.136934
vkitti,2,0.5,3,40,0.21601,0.632266,28.1745,0.128742
vkitti,2,0.75,1,40,0.289909,0.643709,25.5373,0.110764
vkitti,2,0.75,2,40,0.251195,0.64621,27.4009,0.124454
vkitti,2,0.75,3,40,0.272321,0.634476,26.3596,0.112363
vkitti,2,1.0,1,40,0.348996,0.684224,23.3276,0.0905704
vkitti,2,1.0,2,40,0.288221,0.679802,25.7925,0.108262
vkitti,2,1.0,3,40,0.323848,0.66561,24.1417,0.0929958
vkitti,3,0.0,1,40,0.181789,0.637526,31.0929,0.192504
vkitti,3,0.0,2,40,0.181789,0.637526,31.0929,0.192504
vkitti,3,0.0,3,40,0.181789,0.637526,31.0929,0.192504
vkitti,3,0.25,1,40,0.21623,0.640037,28.5035,0.161041
vkitti,3,0.25,2,40,0.199422,0.640584,29.592,0.175417
vkitti,3,0.25,3,40,0.202181,0.638338,29.3062,0.170079
vkitti,3,0.5,1,40,0.262845,0.640775,26.5226,0.137637
vkitti,3,0.5,2,40,0.230668,0.642535,28.113,0.154687
vkitti,3,0.5,3,40,0.239454,0.633778,27.5877,0.144007
vkitti,3,0.75,1,40,0.33243,0.671172,23.8016,0.118255
vkitti,3,0.75,2,40,0.278174,0.66582,26.626,0.135241
vkitti,3,0.75,3,40,0.299505,0.651959,24.9744,0.122631
vkitti,3,1.0,1,40,0.38101,0.720314,21.3525,0.0952071
vkitti,3,1.0,2,40,0.312352,0.701622,25.0738,0.122204
vkitti,3,1.0,3,40,0.351096,0.700689,22.3309,0.101618
vkitti,4,0.0,1,40,0.18426,0.629406,31.0741,0.208732
vkitti,4,0.0,2,40,0.18426,0.629406,31.0741,0.208732
vkitti,4,0.0,3,40,0.18426,0.629406,31.0741,0.208732
vkitti,4,0.25,1,40,0.221761,0.634895,28.3067,0.174735
vkitti,4,0.25,2,40,0.204258,0.634354,29.4687,0.190183
vkitti,4,0.25,3,40,0.206229,0.631998,29.0934,0.183247
vkitti,4,0.5,1,40,0.273031,0.640861,26.056,0.147801
vkitti,4,0.5,2,40,0.238285,0.639626,27.8928,0.167938
vkitti,4,0.5,3,40,0.249987,0.630611,27.1891,0.155447
vkitti,4,0.75,1,40,0.342925,0.674652,23.3136,0.130545
vkitti,4,0.75,2,40,0.284563,0.663997,26.4565,0.149239
vkitti,4,0.75,3,40,0.314389,0.652724,24.5867,0.134732
vkitti,4,1.0,1,40,0.389245,0.719669,20.8833,0.111122
vkitti,4,1.0,2,40,0.316165,0.697222,24.9529,0.135861
vkitti,4,1.0,3,40,0.362474,0.69946,21.9703,0.116951
vkitti,5,0.0,1,40,0.187871,0.631425,30.64,0.218161
vkitti,5,0.0,2,40,0.187871,0.631425,30.64,0.218161
vkitti,5,0.0,3,40,0.187871,0.631425,30.64,0.218161
vkitti,5,0.25,1,40,0.227291,0.639663,27.8615,0.182372
vkitti,5,0.25,2,40,0.208626,0.638091,28.9813,0.197354
vkitti,5,0.25,3,40,0.210127,0.635391,28.649,0.189846
vkitti,5,0.5,1,40,0.279115,0.648157,25.6163,0.153191
vkitti,5,0.5,2,40,0.242289,0.644623,27.4016,0.173862
vkitti,5,0.5,3,40,0.255019,0.635542,26.7468,0.160805
vkitti,5,0.75,1,40,0.345693,0.686005,22.94,0.134526
vkitti,5,0.75,2,40,0.285561,0.67193,26.0445,0.153307
vkitti,5,0.75,3,40,0.315554,0.661863,24.1015,0.138962
vkitti,5,1.0,1,40,0.38613,0.730688,20.4524,0.117516
