dataset,epoch,severity,seed,n_clips,aligned_abs_rel,abs_rel,pred_depth_span,boundary_f1
tartanair,0,0.0,1,40,inf,inf,0,0
tartanair,0,0.0,2,40,inf,inf,0,0
tartanair,0,0.0,3,40,inf,inf,0,0
tartanair,0,0.25,1,40,inf,inf,0,0
tartanair,0,0.25,2,40,inf,inf,0,0
tartanair,0,0.25,3,40,inf,inf,0,0
tartanair,0,0.5,1,40,inf,inf,0,0
tartanair,0,0.5,2,40,inf,inf,0,0
tartanair,0,0.5,3,40,inf,inf,0,0
tartanair,0,0.75,1,40,inf,inf,0,0
tartanair,0,0.75,2,40,inf,inf,0,0
tartanair,0,0.75,3,40,inf,inf,0,0
tartanair,0,1.0,1,40,inf,inf,0,0
tartanair,0,1.0,2,40,inf,inf,0,0
tartanair,0,1.0,3,40,inf,inf,0,0
tartanair,1,0.0,1,40,0.199577,0.919539,17.9472,0.337577
tartanair,1,0.0,2,40,0.199577,0.919539,17.9472,0.337577
tartanair,1,0.0,3,40,0.199577,0.919539,17.9472,0.337577
tartanair,1,0.25,1,40,0.259389,1.02804,13.9799,0.244113
tartanair,1,0.25,2,40,0.257797,1.03099,14.215,0.249488
tartanair,1,0.25,3,40,0.249954,1.02015,14.0741,0.247755
tartanair,1,0.5,1,40,0.339021,1.03545,10.7167,0.151175
tartanair,1,0.5,2,40,0.334265,1.02473,10.8281,0.155277
tartanair,1,0.5,3,40,0.324808,1.02749,10.8059,0.155335
tartanair,1,0.75,1,40,0.41339,0.892504,7.42643,0.0852782
tartanair,1,0.75,2,40,0.409515,0.901707,7.61025,0.0846382
tartanair,1,0.75,3,40,0.412307,0.873044,7.61066,0.0861212
tartanair,1,1.0,1,40,0.491157,0.719567,4.50062,0.0472719
tartanair,1,1.0,2,40,0.490062,0.744093,4.53261,0.0433509
tartanair,1,1.0,3,40,0.498477,0.70849,4.26319,0.0396593
tartanair,2,0.0,1,40,0.164782,0.865868,17.5708,0.332567
tartanair,2,0.0,2,40,0.164782,0.865868,17.5708,0.332567
tartanair,2,0.0,3,40,0.164782,0.865868,17.5708,0.332567
tartanair,2,0.25,1,40,0.239283,0.95457,14.3951,0.241719
tartanair,2,0.25,2,40,0.239845,0.957466,14.5033,0.245093
tartanair,2,0.25,3,40,0.229456,0.953339,14.4276,0.243572
tartanair,2,0.5,1,40,0.335226,0.882297,9.77582,0.153271
tartanair,2,0.5,2,40,0.333141,0.862115,9.8238,0.158457
tartanair,2,0.5,3,40,0.325426,0.858451,9.87173,0.160333
tartanair,2,0.75,1,40,0.439969,0.640469,5.52842,0.0827948
tartanair,2,0.75,2,40,0.43261,0.656099,5.59621,0.0817534
tartanair,2,0.75,3,40,0.439893,0.639443,5.60122,0.0841819
tartanair,2,1.0,1,40,0.510746,0.554201,3.29528,0.0466324
tartanair,2,1.0,2,40,0.511401,0.564382,3.13712,0.0432124
tartanair,2,1.0,3,40,0.505908,0.537255,3.14277,0.0418516
tartanair,3,0.0,1,40,0.1518,0.895554,17.0632,0.340529
tartanair,3,0.0,2,40,0.1518,0.895554,17.0632,0.340529
tartanair,3,0.0,3,40,0.1518,0.895554,17.0632,0.340529
tartanair,3,0.25,1,40,0.244509,0.936515,14.2154,0.241899
tartanair,3,0.25,2,40,0.243338,0.944994,14.4066,0.246478
tartanair,3,0.25,3,40,0.230594,0.929342,14.3278,0.242917
tartanair,3,0.5,1,40,0.34108,0.743364,8.39569,0.131175
tartanair,3,0.5,2,40,0.336685,0.753702,8.74412,0.137424
tartanair,3,0.5,3,40,0.335122,0.726846,8.51487,0.14092
tartanair,3,0.75,1,40,0.458572,0.518978,3.69143,0.0555674
tartanair,3,0.75,2,40,0.452801,0.526197,3.76296,0.0555414
tartanair,3,0.75,3,40,0.457919,0.513355,3.68281,0.0566622
tartanair,3,1.0,1,40,0.521535,0.486205,2.04968,0.027924
tartanair,3,1.0,2,40,0.523406,0.485985,2.1318,0.0284838
tartanair,3,1.0,3,40,0.513557,0.464074,1.89415,0.0263001
tartanair,4,0.0,1,40,0.141299,0.940695,17.3374,0.352813
tartanair,4,0.0,2,40,0.141299,0.940695,17.3374,0.352813
tartanair,4,0.0,3,40,0.141299,0.940695,17.3374,0.352813
tartanair,4,0.25,1,40,0.244733,0.954165,14.3742,0.252655
tartanair,4,0.25,2,40,0.243794,0.959459,14.6028,0.257583
tartanair,4,0.25,3,40,0.230003,0.946846,14.4592,0.253005
tartanair,4,0.5,1,40,0.349076,0.704843,7.76816,0.136188
tartanair,4,0.5,2,40,0.343054,0.722281,8.26874,0.144922
tartanair,4,0.5,3,40,0.346519,0.708665,8.22363,0.145315
tartanair,4,0.75,1,40,0.480424,0.529645,3.1526,0.0560265
tartanair,4,0.75,2,40,0.483006,0.525793,3.27164,0.056418
tartanair,4,0.75,3,40,0.486346,0.535183,3.23236,0.0589344
tartanair,4,1.0,1,40,0.527279,0.472156,1.66276,0.0267752
tartanair,4,1.0,2,40,0.527187,0.465104,1.83664,0.0263036
tartanair,4,1.0,3,40,0.520176,0.451937,1.59161,0.0246383
tartanair,5,0.0,1,40,0.135239,0.959602,17.0686,0.367588
tartanair,5,0.0,2,40,0.135239,0.959602,17.0686,0.367588
tartanair,5,0.0,3,40,0.135239,0.959602,17.0686,0.367588
tartanair,5,0.25,1,40,0.247674,0.966408,13.9557,0.258491
tartanair,5,0.25,2,40,0.245684,0.97248,14.1057,0.262486
tartanair,5,0.25,3,40,0.231999,0.959875,14.0612,0.258992
tartanair,5,0.5,1,40,0.351844,0.70162,7.5041,0.131023
tartanair,5,0.5,2,40,0.343791,0.726375,8.0166,0.13987
tartanair,5,0.5,3,40,0.347022,0.710628,7.91297,0.141499
tartanair,5,0.75,1,40,0.490443,0.518103,2.94562,0.0520616
tartanair,5,0.75,2,40,0.49062,0.512191,3.10169,0.0520538
tartanair,5,0.75,3,40,0.496292,0.526409,2.99335,0.0546316
tartanair,5,1.0,1,40,0.528758,0.468139,1.55537,0.0249737
tartanair,5,1.0,2,40,0.531636,0.471571,1.69004,0.023876
tartanair,5,1.0,3,40,0.524808,0.450017,1.44231,0.0227908
tartanair,6,0.0,1,40,0.133404,0.93457,16.8473,0.371236
tartanair,6,0.0,2,40,0.133404,0.93457,16.8473,0.371236
tartanair,6,0.0,3,40,0.133404,0.93457,16.8473,0.371236
tartanair,6,0.25,1,40,0.246526,0.938245,13.8126,0.260269
tartanair,6,0.25,2,40,0.244242,0.944671,13.9321,0.263851
tartanair,6,0.25,3,40,0.23084,0.930921,13.8893,0.26078
tartanair,6,0.5,1,40,0.354295,0.689738,7.57243,0.133599
tartanair,6,0.5,2,40,0.344611,0.713919,8.06648,0.142425
tartanair,6,0.5,3,40,0.349115,0.698393,7.9849,0.144871
tartanair,6,0.75,1,40,0.496121,0.512369,3.01045,0.0535558
tartanair,6,0.75,2,40,0.495622,0.508895,3.20106,0.0536724
tartanair,6,0.75,3,40,0.50476,0.522953,3.08044,0.0586805
tartanair,6,1.0,1,40,0.530652,0.467808,1.57185,0.0246172
tartanair,6,1.0,2,40,0.538622,0.472188,1.7017,0.0232215
tartanair,6,1.0,3,40,0.53118,0.449161,1.43644,0.0225464
