dataset,epoch,severity,seed,n_clips,aligned_abs_rel,abs_rel,pred_depth_span,boundary_f1
vkitti,0,0.0,1,40,inf,inf,0,0
vkitti,0,0.0,2,40,inf,inf,0,0
vkitti,0,0.0,3,40,inf,inf,0,0
vkitti,0,0.25,1,40,inf,inf,0,0
vkitti,0,0.25,2,40,inf,inf,0,0
vkitti,0,0.25,3,40,inf,inf,0,0
vkitti,0,0.5,1,40,inf,inf,0,0
vkitti,0,0.5,2,40,inf,inf,0,0
vkitti,0,0.5,3,40,inf,inf,0,0
vkitti,0,0.75,1,40,inf,inf,0,0
vkitti,0,0.75,2,40,inf,inf,0,0
vkitti,0,0.75,3,40,inf,inf,0,0
vkitti,0,1.0,1,40,inf,inf,0,0
vkitti,0,1.0,2,40,inf,inf,0,0
vkitti,0,1.0,3,40,inf,inf,0,0
vkitti,1,0.0,1,40,0.164806,0.595011,30.6476,0.149526
vkitti,1,0.0,2,40,0.164806,0.595011,30.6476,0.149526
vkitti,1,0.0,3,40,0.164806,0.595011,30.6476,0.149526
vkitti,1,0.25,1,40,0.18601,0.592354,27.6619,0.114866
vkitti,1,0.25,2,40,0.18517,0.592696,27.7416,0.11529
vkitti,1,0.25,3,40,0.18645,0.592571,27.633,0.116908
vkitti,1,0.5,1,40,0.237143,0.575724,23.7282,0.0813548
vkitti,1,0.5,2,40,0.23383,0.578394,23.9347,0.0796672
vkitti,1,0.5,3,40,0.230752,0.578246,23.7525,0.0809552
vkitti,1,0.75,1,40,0.339577,0.592708,18.5588,0.0541592
vkitti,1,0.75,2,40,0.335183,0.5971,18.541,0.0536371
vkitti,1,0.75,3,40,0.320225,0.595217,18.9303,0.0559091
vkitti,1,1.0,1,40,0.412247,0.691925,12.7181,0.0197613
vkitti,1,1.0,2,40,0.415846,0.696484,12.024,0.019557
vkitti,1,1.0,3,40,0.403052,0.693241,12.3445,0.0221736
vkitti,2,0.0,1,40,0.172352,0.646487,29.9752,0.166764
vkitti,2,0.0,2,40,0.172352,0.646487,29.9752,0.166764
vkitti,2,0.0,3,40,0.172352,0.646487,29.9752,0.166764
vkitti,2,0.25,1,40,0.213539,0.642799,25.3045,0.120878
vkitti,2,0.25,2,40,0.2122,0.643745,25.3553,0.121591
vkitti,2,0.25,3,40,0.213255,0.643509,25.304,0.122775
vkitti,2,0.5,1,40,0.281286,0.644967,20.428,0.0763061
vkitti,2,0.5,2,40,0.275634,0.647353,20.4509,0.0739905
vkitti,2,0.5,3,40,0.273379,0.647298,20.3718,0.0758702
vkitti,2,0.75,1,40,0.381446,0.733351,13.3374,0.0404119
vkitti,2,0.75,2,40,0.372999,0.737076,13.2678,0.0393246
vkitti,2,0.75,3,40,0.36365,0.735989,13.4008,0.041692
vkitti,2,1.0,1,40,0.45855,0.812882,7.50245,0.0108704
vkitti,2,1.0,2,40,0.458028,0.812276,7.52592,0.0116714
vkitti,2,1.0,3,40,0.446462,0.816314,7.50081,0.0116239
vkitti,3,0.0,1,40,0.184644,0.643928,29.1052,0.181562
vkitti,3,0.0,2,40,0.184644,0.643928,29.1052,0.181562
vkitti,3,0.0,3,40,0.184644,0.643928,29.1052,0.181562
vkitti,3,0.25,1,40,0.236735,0.646419,23.2587,0.124777
vkitti,3,0.25,2,40,0.23474,0.646788,23.3648,0.12542
vkitti,3,0.25,3,40,0.236141,0.646766,23.2247,0.126458
vkitti,3,0.5,1,40,0.321077,0.691544,16.0581,0.0690878
vkitti,3,0.5,2,40,0.314633,0.693103,16.1149,0.0678241
vkitti,3,0.5,3,40,0.313491,0.693375,15.8962,0.0710422
vkitti,3,0.75,1,40,0.428473,0.811011,7.63384,0.0111856
vkitti,3,0.75,2,40,0.417775,0.812022,7.84241,0.0125683
vkitti,3,0.75,3,40,0.412265,0.816469,7.61465,0.0153908
vkitti,3,1.0,1,40,0.485073,0.857822,3.64606,0.0166701
vkitti,3,1.0,2,40,0.484046,0.856874,3.72119,0.01561
vkitti,3,1.0,3,40,0.470949,0.865046,3.54082,0.0167969
vkitti,4,0.0,1,40,0.192036,0.647952,28.383,0.205792
vkitti,4,0.0,2,40,0.192036,0.647952,28.383,0.205792
vkitti,4,0.0,3,40,0.192036,0.647952,28.383,0.205792
vkitti,4,0.25,1,40,0.251754,0.657434,22.041,0.138728
vkitti,4,0.25,2,40,0.249987,0.657356,22.195,0.138624
vkitti,4,0.25,3,40,0.250735,0.657341,21.9623,0.139532
vkitti,4,0.5,1,40,0.340563,0.72193,14.3632,0.0770411
vkitti,4,0.5,2,40,0.331497,0.723628,14.4493,0.0734157
vkitti,4,0.5,3,40,0.335484,0.723987,14.219,0.0776332
vkitti,4,0.75,1,40,0.440569,0.835019,6.62532,0.020053
vkitti,4,0.75,2,40,0.42631,0.838528,6.63678,0.0201201
vkitti,4,0.75,3,40,0.42613,0.840413,6.59906,0.0232985
vkitti,4,1.0,1,40,0.499776,0.875417,2.70041,0.0346195
vkitti,4,1.0,2,40,0.498141,0.875667,2.74474,0.0346833
vkitti,4,1.0,3,40,0.49029,0.88326,2.61389,0.0351452
vkitti,5,0.0,1,40,0.192161,0.646293,28.2817,0.220439
vkitti,5,0.0,2,40,0.192161,0.646293,28.2817,0.220439
vkitti,5,0.0,3,40,0.192161,0.646293,28.2817,0.220439
vkitti,5,0.25,1,40,0.252343,0.662079,21.6762,0.144953
vkitti,5,0.25,2,40,0.250405,0.6614,21.8915,0.144696
vkitti,5,0.25,3,40,0.250698,0.661564,21.6459,0.145201
vkitti,5,0.5,1,40,0.336079,0.741964,13.4121,0.0756424
vkitti,5,0.5,2,40,0.32685,0.743637,13.5904,0.0721774
vkitti,5,0.5,3,40,0.33124,0.74372,13.2617,0.0755987
vkitti,5,0.75,1,40,0.427762,0.846803,5.8828,0.0169782
vkitti,5,0.75,2,40,0.416045,0.850087,5.97401,0.0168975
vkitti,5,0.75,3,40,0.414758,0.852521,5.84618,0.0195436
vkitti,5,1.0,1,40,0.520233,0.871804,2.21153,0.0326196
vkitti,5,1.0,2,40,0.519829,0.871971,2.24391,0.0334643
vkitti,5,1.0,3,40,0.511672,0.87916,2.15963,0.034389
vkitti,6,0.0,1,40,0.190538,0.643836,28.1376,0.224539
vkitti,6,0.0,2,40,0.190538,0.643836,28.1376,0.224539
vkitti,6,0.0,3,40,0.190538,0.643836,28.1376,0.224539
vkitti,6,0.25,1,40,0.25569,0.662111,21.3669,0.148907
vkitti,6,0.25,2,40,0.253509,0.661339,21.6138,0.148421
vkitti,6,0.25,3,40,0.253957,0.661453,21.4017,0.149229
vkitti,6,0.5,1,40,0.341074,0.736556,13.4981,0.0796542
vkitti,6,0.5,2,40,0.331922,0.738403,13.6175,0.0757564
vkitti,6,0.5,3,40,0.336308,0.738568,13.3372,0.0796545
vkitti,6,0.75,1,40,0.428537,0.840517,6.25298,0.0201269
vkitti,6,0.75,2,40,0.41666,0.844182,6.29083,0.0180578
vkitti,6,0.75,3,40,0.415928,0.845676,6.20138,0.0218109
vkitti,6,1.0,1,40,0.513504,0.870458,2.34286,0.0308193
vkitti,6,1.0,2,40,0.509831,0.871001,2.34825,0.0314148
vkitti,6,1.0,3,40,0.506158,0.878048,2.25858,0.0316601
